Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
SAMD11,7.31802,3.6358805,6.274535,2.2916052,20.799402,9.513518,4.640242,5.4741583,2.7793698,7.109936,11.824598,3.6780882,2.587267,4.019718,3.3583767,8.015298,38.066795,28.32292,5.3945355,0.0,3.0725951,11.11367,5.940828,1.596389,4.171054,3.9196985,4.019573,29.222343,8.853627,4.3250017,8.563225,10.962584,4.8866367,5.4565434,14.915667,6.2079754,12.385542,15.776672,3.2088637,5.89624,1.7721992,3.6172318,1.5637621,3.9386926,10.8269825,12.216426,3.4548762,21.907282,10.507038,5.8896623,7.90192,2.0697095,3.3322392,7.0230813,0.8679921,19.336466,1.8655822,3.6600688,4.6093802,6.711996,8.268769,8.311844,3.7389793,6.992197,7.3844285,6.2731786,8.702768,3.6503382,2.4316795,3.719709,27.541933,2.1219792,1.8572793,3.0480995,19.541273,5.2103686,2.5590034,4.893362,8.154841,1.5631567,4.357119,6.5971966,14.874355,7.0640063,9.839444,5.3342686,15.117929,6.454872,1.5529479,17.978075,8.67632,4.512793,7.034646,6.9245253,8.097669,4.615291,2.0866039,4.762184,7.560534,13.069024,3.930631,6.774375,6.4786296,2.703327,6.2031903,115.132805
HES4,136.0449,41.81565,107.367645,92.8062,330.4428,129.34532,110.33666,106.702225,61.739006,210.02008,149.86874,158.6393,86.87125,109.21491,39.497726,116.73641,108.65134,267.3483,94.660446,50.52166,46.91623,152.55608,173.783,93.34523,73.533066,123.745705,97.04481,150.74747,178.49089,69.998695,208.72345,267.8889,193.83371,135.95886,199.68674,110.167175,193.2011,163.85753,41.739418,99.16059,15.702452,74.053535,51.192677,65.03879,158.2601,88.44633,99.06713,166.36023,186.34042,108.853584,126.068565,59.469635,60.77441,130.63972,56.07997,458.33032,42.30223,74.08911,98.91048,123.95877,116.05423,196.46436,78.49935,87.2425,167.67137,184.43105,183.29362,64.18615,47.165344,41.821487,207.5942,23.584282,89.60132,66.6306,189.2161,107.93405,97.772934,90.323746,48.728485,82.41518,88.50368,166.79596,111.72107,116.83855,228.09842,117.911804,219.80441,135.32268,74.105865,90.77226,162.33441,69.85262,138.74872,154.18321,147.54155,108.66761,56.782818,100.13856,183.2802,297.8767,166.99564,30.189606,159.68224,101.2143,143.9866,2639.121
ISG15,240.49635,82.49982,165.6442,137.50731,542.2795,200.46289,189.5008,180.0203,128.89316,330.06824,266.03784,247.45969,134.15446,195.13773,84.311356,235.94951,205.15015,533.10675,173.73509,82.99751,81.22612,266.67386,292.98633,176.18442,138.69128,215.99014,166.26712,297.73645,255.64503,122.84961,312.84073,586.6189,284.72986,232.2134,329.74487,184.18118,353.6191,292.79214,75.75792,185.90372,41.67822,114.90258,88.65979,129.61047,314.53424,179.17398,177.04288,258.63583,285.73367,540.8542,220.87207,100.6402,96.3968,234.18118,99.713905,701.93884,77.789116,154.23163,146.43417,234.2601,188.67654,302.87662,124.76424,141.73863,293.32355,412.1316,292.98175,121.10179,80.682976,78.56067,405.03394,42.014538,153.04037,94.78394,275.86703,156.24786,153.4831,140.14337,110.01795,128.71446,130.6622,316.07816,214.85757,198.11346,399.61285,170.97266,336.44257,203.87125,104.313965,186.30652,288.33167,130.55042,231.46849,272.16394,229.28792,206.32768,103.20046,147.04773,301.29486,445.1552,246.92097,83.381226,270.56952,175.92337,243.50198,4452.28
MMP23B,13.9609995,7.698538,7.5941358,9.102127,26.051434,6.9514894,6.3287945,6.8611207,4.395088,15.315394,12.674503,11.810688,9.541903,12.988582,4.9281826,10.838331,11.402393,21.581217,7.9129515,4.8689075,2.9345093,16.550583,12.721565,6.165161,4.7018986,5.9745483,6.18704,8.444048,14.911509,5.672671,15.664443,15.908955,11.176977,9.636587,13.266221,8.748097,12.963204,10.410677,5.512304,7.953274,2.1066275,4.3488483,5.2812715,4.3300586,13.498884,4.507166,8.33146,14.224874,13.231772,6.619856,6.728075,7.43858,2.6157777,8.2988205,4.363027,27.089098,4.7604513,4.702506,6.784919,10.821634,7.8253055,14.140583,4.201845,5.9723673,12.95904,8.916004,9.942487,4.3930516,2.9415948,1.7221684,15.694531,2.0980577,6.503216,7.823045,17.417702,11.578177,10.302491,6.781127,4.7916903,5.9034886,6.945601,13.073776,8.467273,10.433387,19.68039,9.342635,19.795734,11.062335,4.0493355,8.669162,12.441017,6.144677,9.434231,9.645533,9.996538,5.8260927,8.044557,6.132783,13.715832,21.941248,17.869488,3.7365346,14.462104,9.67963,8.554201,176.24406
SMIM1,175.04727,88.69744,116.627846,172.9325,377.53705,133.13698,126.1779,132.21516,112.651375,257.76953,159.9773,217.56256,143.0204,216.28867,92.49098,201.45503,157.62009,400.73907,138.27904,72.312675,75.17267,265.3979,256.79453,115.35972,82.65445,129.11484,103.91831,185.11537,273.80124,90.353775,211.95073,300.3935,230.31946,162.86148,265.8922,183.5722,241.01086,220.44908,71.03192,144.69484,43.295624,83.7616,74.128265,112.173065,224.87369,139.15575,209.04515,209.07045,498.60745,104.84725,151.89128,79.87711,64.956764,163.08855,62.13967,480.05283,62.356213,107.98507,115.18162,147.05591,112.64574,201.00893,92.01819,96.80401,187.34161,185.71794,207.06552,82.86194,54.5659,39.894215,243.81755,29.85601,130.65056,160.07928,381.9674,164.20876,125.10416,117.66996,70.39402,147.99788,97.98916,191.87271,123.248276,165.69862,252.2685,169.48181,239.59373,160.10652,69.570366,117.4353,290.07092,84.04469,185.4893,178.91698,154.3136,140.28853,212.11023,110.17074,225.93982,385.58685,249.49063,59.36708,212.13692,108.837074,153.61969,2955.4707
LINC00337,5.466614,2.3244526,2.9183195,1.7038764,15.440184,4.547477,3.1191616,2.7698324,2.9809556,4.9044523,5.3748465,6.6633153,1.5348892,3.139616,0.92777103,3.651176,6.934147,11.528808,5.1119823,0.86772835,0.8865423,3.2044535,6.8144774,6.190918,1.4302962,3.8038347,4.335405,8.030762,4.8656273,1.4437379,7.8597593,10.34869,4.533067,5.231933,6.147335,2.974766,8.276063,8.61209,1.4330266,4.3186283,2.7446873,2.111207,0.9674773,1.4676362,3.373421,2.509798,2.1272411,4.3824587,5.203167,2.0029929,4.7369804,1.3969605,0.9411878,5.169204,0.6088103,16.949282,1.057309,3.2217443,6.6543736,5.8689938,5.6879616,9.567443,2.4503946,1.5890082,7.087742,4.423182,6.2182293,1.596385,3.7709243,3.2356026,6.6795874,0.78576887,1.3092268,0.5521315,3.1294334,2.6863275,2.9001102,2.4479725,0.6991409,1.8533738,2.5426776,3.974581,3.477892,2.6798346,10.057937,4.6892467,6.674215,3.2487288,1.8435156,2.6176164,3.0958557,1.5065114,3.268464,3.1199708,3.6019692,4.639361,2.054285,3.8196461,7.0382266,7.3581905,6.285593,1.3700966,6.582112,4.1886992,4.317356,98.039375
ENO1,703.73596,363.09448,514.88684,464.02145,1780.2434,641.5249,579.29736,543.2103,352.74637,1005.7407,793.57135,744.3273,489.9792,702.1154,314.05487,986.43085,734.8683,2098.2744,534.4462,298.4876,323.06277,867.0911,899.1847,541.0578,397.94354,838.8373,572.1098,916.38635,841.6389,384.46216,1153.4354,1514.468,945.91144,706.7212,1095.2574,637.2495,1064.6365,850.0466,292.88937,530.16174,192.13986,370.23126,335.58197,490.3458,950.8159,528.9019,552.9553,757.676,1187.1741,618.1449,630.25305,332.4403,333.31018,742.811,331.55017,2538.5193,251.16212,460.72324,448.7766,775.3132,766.64355,1194.1586,437.91504,457.02,1004.5642,932.3022,856.45337,407.14154,285.01508,233.08282,1338.2615,191.4016,424.48138,425.53024,850.84937,549.841,484.95853,464.14658,348.7116,496.21494,407.60834,947.09375,671.74255,678.3227,1164.6599,582.47925,1180.8646,664.70306,462.67862,639.7758,1073.0773,415.06418,762.2916,830.8562,748.51483,599.9688,539.1394,446.5181,872.35034,1424.1393,860.23004,278.45755,829.49585,609.60144,700.68463,14183.305
GPR157,3.7806551,2.4267108,2.7758574,1.709991,11.391873,3.2871292,2.5636806,3.0118332,0.94782203,7.80321,5.7042704,3.0820832,2.773714,2.221126,1.3321173,2.5060155,2.2740557,6.899857,3.1285942,0.9713719,1.3727986,5.1816616,4.0651145,4.1578546,0.8629134,4.820019,4.900662,3.7856624,5.0405455,2.4623883,5.822342,6.5272164,4.7190185,2.2552392,5.967773,3.1668277,6.2823534,7.1460285,0.53495455,3.2068017,0.7024251,1.0948787,1.00138,2.791072,5.2888784,3.6224182,2.2327259,3.833527,4.2115145,3.2116811,4.19119,2.2139597,1.8251423,6.2538605,2.3632238,15.538281,0.7398047,1.8550711,2.5115092,3.5006618,4.335771,8.541583,3.4586914,3.2026856,7.3888617,6.1486864,3.370833,1.1666806,0.92606354,1.7390946,8.514761,1.7790325,1.3984491,1.0210524,7.7425604,3.2114887,2.0702639,2.8872135,1.311982,1.0790516,4.0069547,5.760102,3.5942662,2.7587519,5.266353,3.695618,4.870723,3.5532687,4.0839624,3.442282,3.0830379,4.1085415,2.8557627,5.8440895,3.9287443,2.4597263,1.5391923,3.3102143,4.784474,9.223987,3.2605233,0.7605555,3.7231984,5.2067733,3.7846134,82.06804
PGD,365.9931,158.95346,263.3741,211.56633,813.8904,305.35703,283.839,270.34567,164.90775,499.666,368.30133,383.9986,193.12903,275.64545,116.40499,571.9079,359.85696,1076.6963,276.63837,136.95753,118.57714,384.35956,445.7809,276.29266,192.82816,326.6647,247.31354,413.93835,436.15347,190.2284,496.47052,716.0415,480.1379,389.39157,517.55194,276.3738,484.98285,421.13956,136.42282,267.82462,87.03785,190.91872,141.20157,186.07271,442.50665,227.3392,257.06982,348.0535,453.69125,249.02249,319.2442,172.54567,147.2473,349.0625,144.19356,1077.2913,129.85695,224.2902,252.4774,332.32806,286.96097,480.02237,205.46523,202.69992,429.35764,471.28937,467.1089,168.0393,128.49988,107.2427,621.5301,68.88501,227.20573,180.3895,362.75763,253.0077,246.89928,238.27882,166.29721,194.35152,189.43875,412.3734,304.84583,279.38666,576.9857,270.44983,569.1486,331.41245,179.96268,262.94778,409.87665,185.3853,384.30795,400.79034,353.82126,301.049,150.7694,220.59648,469.5758,689.4933,383.5066,115.355484,402.5341,278.63626,326.66943,6752.6772
SRM,745.9682,348.7972,481.39783,492.25055,1514.4001,555.46606,507.207,530.7306,391.53882,915.5378,738.65894,718.20166,385.50882,565.1682,215.31091,1260.0823,778.4738,2120.6301,532.61035,308.4205,240.77428,860.4181,829.6718,515.44995,465.15088,642.02826,458.88943,750.51465,855.44116,378.00705,998.85266,1306.1667,918.01086,697.1622,983.4735,623.45953,913.0879,820.6654,269.70694,457.68024,231.14912,350.2156,299.85907,503.4422,913.7207,600.98773,495.22675,685.93475,1123.5603,464.61795,558.64575,339.15918,290.97467,661.186,296.2986,2472.4036,270.4501,429.0009,417.89005,658.8783,597.1836,953.66644,394.9926,411.19016,849.8077,865.7586,824.2589,386.1959,260.55853,290.40897,1273.5602,172.35843,426.57523,506.04507,766.21497,559.62585,449.88272,440.46365,377.2805,481.0119,359.70883,758.2051,639.3913,630.2963,1101.0762,497.8325,1142.2694,592.7945,363.2062,541.1435,1108.1052,405.01328,718.06116,711.08344,678.6812,537.23846,506.63574,431.69006,850.53595,1336.5996,756.25006,259.0213,731.1463,523.5264,636.72485,12276.213
