Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
SAMD11,5.598685,3.5245597,4.229662,2.675917,16.1817,7.870523,3.469491,4.5899987,3.7133482,11.182915,9.515617,5.664029,3.7695534,5.6970315,1.7640444,8.517648,30.364855,25.146515,4.6638265,1.8457876,2.2380712,8.874743,3.7609985,3.3760338,4.7954416,3.5218058,4.5352316,21.228249,11.193073,4.7869344,8.012707,9.319123,4.8347363,6.396006,12.997249,6.183993,11.353097,12.47655,0.71324056,6.479205,2.377393,1.8519132,1.0816045,2.770787,7.9271154,11.578568,3.4409704,15.018621,9.785251,6.1479387,4.171284,3.0500722,4.148165,7.5930114,1.2226886,15.394846,2.9124782,4.996909,3.073009,6.373753,6.179237,5.357227,3.2496798,3.5928981,10.179705,9.592528,10.5950165,4.8334107,1.115643,2.8112292,24.526094,2.9943843,2.03279,2.6475894,17.747007,6.918866,3.8383346,6.069803,9.219014,2.4171622,2.3626227,6.4463425,12.911974,4.3282094,10.703389,5.158566,8.669787,2.953675,3.6857727,11.572322,8.1281,3.5735416,5.3981676,8.19721,6.79231,5.5202436,2.2581596,5.8662677,11.958604,17.118399,8.00018,5.0580063,4.3257284,3.6169777,4.588532,118.198555
HES4,154.22925,45.088947,110.67886,87.65512,366.88977,130.0998,118.92256,118.236755,56.4015,211.7744,158.68599,172.6671,88.57012,110.62982,44.411057,92.11978,105.57222,269.3393,98.513885,54.988724,54.499092,156.55305,183.49258,100.66731,75.74651,136.6644,101.57756,165.2041,190.42775,81.66479,211.51389,296.22144,225.73444,155.44127,213.03558,104.96381,216.15851,161.04106,48.8486,110.24161,23.237644,74.61467,52.253975,57.187656,182.22131,91.0108,109.35278,169.36751,193.2831,114.42127,134.04472,64.151855,63.809517,137.97008,59.57347,466.75494,54.00098,91.045334,109.01671,139.39435,120.4227,213.15988,86.95584,92.02692,183.41731,204.46365,198.30801,62.49983,54.1918,40.725628,233.40146,27.925968,94.77574,83.66755,180.63309,100.94677,103.02338,103.91542,54.494324,78.662445,92.55721,194.73558,119.43866,126.56587,238.44334,121.95539,264.12466,152.31967,71.4411,93.72157,143.4548,81.57158,160.58734,165.97354,154.66328,127.20923,48.861885,110.53757,206.57059,326.9604,174.01846,44.22863,157.82877,114.44314,154.33893,2897.491
ISG15,283.31845,103.41394,202.91302,176.10194,630.87476,244.27843,218.89838,202.67915,136.01003,373.78632,338.2004,296.80594,164.50569,220.95772,100.388145,311.2397,257.6062,650.51294,207.41602,112.82862,107.288925,302.67902,340.83304,200.45033,165.51944,252.32727,199.97693,346.33524,299.36597,154.8284,385.29468,728.0852,342.5427,284.5091,390.99695,215.14746,404.29572,340.2892,101.30308,226.8802,45.237953,147.60095,116.14778,149.33223,387.41376,202.3287,209.98495,301.0581,340.11993,664.3434,266.86792,124.04312,116.70486,271.13327,121.71922,874.0751,99.58735,182.05386,169.63885,264.17517,232.32045,363.62262,159.13493,152.45491,348.60397,506.92798,355.0804,152.32263,97.63379,92.60651,543.58435,53.030598,185.24051,113.186844,315.4553,185.53326,171.00725,178.65002,130.05348,152.75902,139.50867,373.86108,246.43634,247.3329,471.11383,218.88936,408.49023,238.51059,142.66275,230.51974,353.84454,148.85643,302.65768,331.49426,249.36589,238.94928,141.11423,185.14104,362.6271,551.0585,296.7896,84.50063,306.03754,206.10196,294.30984,5290.9937
MMP23B,17.292377,9.506047,9.288841,10.617942,35.751534,13.475873,9.002466,13.50005,3.2560618,19.738792,18.08857,19.873434,14.703285,19.274471,9.000162,15.4220295,16.748049,34.808796,10.135989,7.9697046,5.658606,21.396854,17.496422,7.3044295,8.630481,10.7545185,11.331933,9.142622,21.895775,8.624557,17.561773,22.878033,19.846224,9.278009,19.449678,12.71515,15.238998,9.134303,4.888372,9.69397,2.138875,5.114312,6.4547257,6.6692486,19.615671,9.144972,10.7607,19.787418,19.000763,9.383432,9.297076,8.839325,4.354133,12.193662,5.239936,38.9912,5.7343764,9.241465,10.727378,15.386974,8.03105,17.935904,7.151279,8.824989,14.671243,16.033035,12.594776,7.817025,3.8111875,4.816114,22.48982,4.00869,8.608497,13.947135,26.409798,16.68589,8.412327,11.383036,6.6682525,10.159316,12.166997,17.888998,13.402924,16.316126,24.668173,14.009823,28.400454,15.9462595,5.2347913,12.055761,15.618437,7.894971,14.634819,14.959425,17.825,12.210214,14.218693,9.211348,20.269514,29.362013,27.972603,5.6233597,19.210426,9.572125,13.08608,250.10574
SMIM1,183.07341,93.53318,119.34668,173.58658,344.61902,133.81244,126.95728,132.88086,112.158585,240.3948,162.71861,209.08342,158.39261,213.85153,89.25502,202.69728,173.36237,425.22314,134.081,74.75274,84.14712,272.08063,249.19504,126.81111,82.98938,139.45479,108.187614,173.8373,279.78516,100.029945,206.29367,303.83978,253.95789,149.48607,261.55466,191.18094,230.47205,214.55905,63.565464,157.0922,39.122063,71.00906,71.172646,116.963036,245.54327,155.32457,216.79793,205.593,495.68756,115.44244,141.63039,71.4333,77.14661,158.54364,73.231384,477.21884,59.929955,106.27399,111.72679,146.07332,115.17124,200.29976,91.43687,97.55085,185.742,185.81584,220.12717,95.210045,50.001312,34.981888,240.41658,34.087734,128.1562,168.51085,385.3912,163.51222,126.43807,124.45992,86.71931,165.00882,91.7165,191.71513,140.51262,182.50471,249.36963,170.05597,227.55164,167.70576,73.93283,112.34119,275.99933,82.24006,204.9878,169.50183,149.4176,118.40216,238.59338,101.860374,226.75272,368.4792,270.2646,68.52013,214.13535,109.09131,157.48856,2911.4744
LINC00337,3.5699244,1.8327231,2.4100976,2.2417011,11.3145275,3.1572144,3.0147688,2.6554945,1.7199297,2.8971565,5.400976,4.593599,2.6292038,3.4484699,1.7765906,2.7460756,3.3589075,8.240726,3.191826,1.6926513,0.8750003,2.4180686,4.0341206,5.04927,1.1938391,2.6891365,2.5099995,4.4767714,5.180494,1.6495379,5.162001,9.191954,5.62241,4.428417,5.47141,4.0721064,4.016708,5.7810717,0.5015147,3.1809475,1.5116484,2.1978853,0.97680247,1.2512829,4.0532126,1.3387285,0.9931018,3.3274512,4.7397733,1.1766988,3.81466,1.8463392,1.0382056,4.249206,1.2996668,15.668374,1.9474351,3.7785823,4.085488,4.7610855,5.512711,7.207938,3.8764772,2.8156629,5.0440955,4.681683,4.785111,2.1371827,1.4829863,2.6926785,5.769848,0.74658316,1.725575,0.3463192,5.076147,2.4923966,2.7990873,3.1576996,1.5090314,1.8325431,2.2258449,5.6810284,3.3739586,3.7924142,7.4874015,3.156628,6.640834,3.7770298,1.4034877,3.69944,2.1026373,1.6487352,3.2549753,1.8840299,3.704909,3.2580168,1.4456818,3.7056415,6.214815,7.0061674,5.8407965,1.7185472,5.864872,3.2484546,5.1855335,77.40321
ENO1,646.2984,343.74042,511.3261,417.9458,1699.5577,640.273,567.63245,500.39526,313.8513,951.80853,755.4939,719.4266,471.09637,654.25946,287.6874,824.5418,630.8231,1800.1627,495.26273,300.68744,279.76096,811.3564,862.54083,556.58563,397.28064,814.85,545.42883,803.9338,753.60114,366.37726,1069.6776,1402.3802,904.5458,663.52734,1012.7031,563.48096,985.6569,788.847,279.151,509.0395,179.77444,347.80847,346.7037,399.74344,867.37146,484.3402,513.6174,686.23486,1158.5131,551.72064,607.4292,329.8543,307.24768,669.1612,305.4752,2537.8806,253.08705,437.6906,410.59366,701.22614,744.8103,1101.5144,402.36508,419.26102,942.3329,907.67596,799.8546,360.25732,281.0531,205.86542,1278.2877,159.87613,384.47522,401.047,819.7111,524.9184,476.15976,460.75003,339.19794,448.0717,392.98343,888.4651,605.0357,686.9837,1026.0745,534.36115,1107.5162,650.06976,378.72375,571.18353,991.00757,398.30276,704.0924,784.32385,674.02625,568.9702,497.36948,414.00192,845.2539,1372.8927,803.0643,277.8766,796.175,547.94507,645.5219,13370.356
GPR157,3.2346103,0.9805386,0.70851076,2.1290333,9.805204,3.0721025,2.8638237,1.7709496,0.5735817,4.8043776,4.9158077,3.3720977,4.088376,2.0182827,1.5414482,0.9706119,2.2639074,3.9779038,2.3209665,1.2004374,1.8634905,3.8305972,4.4482803,4.7920427,0.95059484,2.932959,3.5583162,4.700701,3.8592787,2.6049783,4.627478,7.0491285,2.940316,2.6420026,4.1656184,2.7021585,5.681125,4.7324543,0.48257485,2.9794116,0.44040442,1.4596174,2.2577431,2.442196,4.9400253,3.7242205,2.2084348,2.539987,3.4284058,2.0351238,3.1375191,1.3639046,2.2558126,2.738831,1.6104045,13.086966,1.0630324,1.6230578,1.0966961,4.845401,2.3500347,6.085581,1.9331099,1.4428663,4.4225874,2.988461,3.1783817,0.9327788,1.0580614,2.0530262,6.4497333,1.2840064,1.9760175,0.15168065,1.8556302,2.2638447,2.4017465,3.3427944,0.7970896,1.3418977,2.6516948,5.797692,2.4012942,3.2338164,4.305617,3.9285238,4.4788117,3.8580909,3.440607,2.156835,3.1562493,2.9833317,2.3855896,5.3539324,4.9652457,2.9995868,1.388737,3.301117,4.002514,8.779656,4.507209,0.32291853,4.1141467,2.4642696,2.5913427,70.50772
PGD,373.18542,141.96848,271.81567,216.61136,826.43414,309.29993,294.6541,277.44385,151.47223,498.61145,376.56653,381.06033,202.44687,293.7126,115.34731,649.0499,371.88504,1125.7231,293.53976,142.04764,132.0707,404.32407,440.11264,272.15417,191.71062,325.01074,250.05568,426.53345,447.18835,196.65543,487.12918,697.2648,459.8735,382.02573,532.21344,272.84088,484.49228,420.44916,135.6781,265.61877,76.67345,181.7504,142.71231,169.44113,465.4699,240.19325,258.03488,348.86206,443.4633,242.85982,315.47028,163.578,160.24701,340.44177,144.0863,1099.0328,127.49209,222.69637,244.25125,318.83572,302.20886,492.76114,206.53406,200.06549,433.21216,452.39627,459.92218,169.09982,130.50404,115.26152,649.31366,74.63292,220.49191,172.11995,377.0763,260.02188,237.06398,260.64716,155.20084,194.03741,186.82144,435.19397,291.5406,290.12082,586.9203,283.11282,562.7744,336.8159,184.81303,257.78308,404.50208,190.52002,402.66318,393.64713,353.58115,303.53018,141.4838,221.909,475.44962,687.2667,400.81897,111.85556,409.1974,271.28198,348.40295,6688.635
SRM,743.9536,325.64008,529.945,510.85022,1548.2444,576.96027,566.6897,530.8378,398.10956,923.0993,810.1099,734.2532,391.48965,563.1118,251.13716,1263.142,811.232,2170.6262,547.7255,320.56976,293.93307,851.4219,816.4535,517.81824,504.92722,634.9207,507.9336,791.2951,878.86914,361.544,1049.3218,1417.0887,902.77655,693.21796,1035.4822,581.2029,947.4364,849.90393,267.50818,511.03192,233.44934,346.1857,288.62933,472.89893,954.3948,598.8032,499.66595,688.0812,1157.7015,518.2389,590.4802,365.54425,299.9381,633.2495,306.8647,2438.372,245.99255,442.6803,427.7804,672.4894,609.0142,957.1456,376.0992,411.04498,881.35803,907.3049,848.17377,406.16916,277.17822,286.47543,1321.8538,164.96889,419.72162,499.33008,766.5845,563.61505,473.62582,442.07907,372.1389,436.01978,379.94775,837.9413,624.7409,676.6446,1204.4523,545.749,1129.3273,616.2911,372.30673,543.345,1133.231,442.57935,780.1619,783.85596,682.4582,534.49384,501.47977,419.23734,889.1088,1378.6761,785.80396,255.78397,741.35516,559.6662,707.2229,12579.947
