,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
FGR,-3.1801026e-10,4.8098125e-05,-1.300654e-10,2.7072988e-10,0.0001226106,,,8.104472e-06,-2.879859e-08,-1.4692011e-10,-1.653305e-05,,-2.8292302e-10,2.3365617e-05,-0.0010399538,,3.6359858e-13,2.1784824e-11,,8.4656707e-13,,0.0,-5.985108e-05,-2.7309752e-12,,-1.155689e-11,-1.49155e-06,-5.82575e-11
CFH,9.181557e-12,-9.818655e-07,9.722002e-12,-3.0887974e-12,0.00060419936,,,5.5402515e-06,-2.6277137e-06,2.5644426e-11,-6.7533256e-05,,2.7195071e-12,5.0014918e-05,1.6777512e-05,,1.06219575e-10,8.102254e-12,,3.7934905e-16,,-5.1902038e-08,0.0002806613,6.1102863e-12,,-2.4009006e-09,-1.171641e-12,6.1962026e-11
HS3ST1,7.5412936e-15,8.549025e-06,2.9836087e-08,6.2927094e-12,-0.00017706162,,,0.0,-4.9051512e-05,1.1776102e-10,-1.7029898e-10,,1.7069342e-11,-3.9671105e-10,4.4558237e-06,,7.2939675e-11,8.4582965e-13,,0.0,,-1.70364e-08,-0.0002728737,4.6415034e-14,,-1.3690679e-09,1.744628e-06,1.1598968e-11
TMEM176A,-3.598287e-14,0.00019139024,-7.611452e-12,-2.422836e-11,1.7431576e-07,,,0.0,2.104168e-06,-1.9760906e-09,-8.785287e-05,,1.2777422e-11,-1.8808577e-06,-8.2170445e-05,,-1.688174e-10,-1.1550971e-11,,-1.3952115e-15,,-4.3441943e-07,4.705438e-05,3.5831006e-12,,1.7355565e-12,-9.606123e-06,1.6434777e-12
TFPI,6.950394e-11,0.00030521,1.7136455e-10,6.3303734e-10,-0.00030760525,,,1.89659e-05,-4.9803923e-05,7.9839e-10,6.0742073e-05,,-4.6951668e-11,4.5266683e-05,-0.00015291214,,5.07072e-13,-6.5395134e-11,,-1.10782916e-16,,-1.5981092e-07,-1.5415644e-05,1.1316247e-10,,1.276079e-09,-4.631221e-06,2.3992888e-10
HSPB6,0.0,0.0,1.8060025e-16,-1.1098507e-09,1.4305115e-09,,,-6.079674e-08,-2.5675846e-09,0.0,9.3406394e-05,,-4.510712e-15,0.0,-2.2740596e-05,,3.424609e-13,-6.1122003e-17,,4.528714e-14,,0.0,0.0,-6.1109082e-12,,-1.9525659e-16,0.0,4.6280917e-11
PDK4,-4.3501616e-11,2.2086559e-05,-2.5370073e-10,-7.1735555e-11,2.531299e-05,,,-3.0118226e-06,-2.6768582e-06,-5.279021e-10,-7.893756e-05,,3.1909841e-10,0.00017584027,-8.032633e-05,,1.5304272e-10,-2.5791333e-12,,1.0688669e-12,,-2.4079778e-08,1.4740034e-06,-2.5393479e-11,,3.2232947e-10,1.4281272e-07,6.186265e-11
ZMYND10,-4.1684874e-13,4.0839793e-11,8.8296923e-14,3.5732124e-13,-2.3772262e-05,,,0.0,4.830078e-05,-2.8061423e-10,-1.7029898e-10,,-1.4226594e-12,1.4570024e-09,-1.2756515e-05,,2.791579e-10,-2.682317e-13,,0.0,,1.8287992e-08,-0.00031167857,3.150404e-11,,1.4308777e-08,0.0,1.2599809e-14
WDR54,3.568694e-11,3.3963533e-05,1.2109437e-12,3.0402836e-09,1.4146398e-05,,,0.0,2.4538314e-05,-2.8540353e-10,1.0365077e-05,,4.842692e-13,-2.1521846e-05,-7.753536e-06,,6.490954e-12,2.515081e-13,,-1.0056452e-11,,6.9163264e-08,-9.5517935e-06,4.2680488e-11,,-7.879266e-10,-1.5342235e-07,3.325537e-15
ITGAL,-8.81048e-14,-4.1065766e-07,-4.9774087e-12,-4.9208633e-09,-7.2431153e-06,,,-7.9679485e-06,-2.3629513e-05,-1.647526e-09,-3.616251e-06,,1.0126354e-14,1.2784534e-06,-0.00033137747,,-3.955567e-13,-1.8528436e-11,,-1.5567913e-13,,-2.6086182e-16,-2.4647863e-05,0.0,,5.533791e-13,3.9613246e-07,1.9737948e-12
ABCC8,-8.728449e-16,0.0,1.4257582e-11,0.0,0.0,,,5.9604643e-10,0.0,0.0,0.0,,-5.7594793e-12,0.0,0.0,,1.7365737e-12,0.0,,0.0,,-1.3674289e-08,0.0,0.0,,0.0,0.0,6.1213675e-13
CX3CL1,-4.157007e-13,-0.00010001361,1.9289237e-10,-5.2370813e-10,0.00010574176,,,3.210513e-05,2.3589685e-07,9.349969e-13,3.5763283e-09,,3.4791874e-11,-2.5067064e-07,-2.4504132e-08,,2.0764848e-14,1.7867435e-12,,8.1669535e-16,,1.2246721e-09,-0.0006716279,-1.887944e-12,,6.3043244e-11,0.0,8.9929644e-14
TNFRSF12A,-4.7940035e-10,0.0009908162,3.3030026e-10,3.211239e-10,-0.0008954812,,,2.5338983e-05,-6.7689485e-05,-4.4987156e-12,5.1505947e-05,,-7.892817e-10,-2.0497374e-07,4.4581036e-05,,2.6099223e-11,2.0432083e-11,,-1.402609e-14,,4.493815e-08,0.00078923133,3.2791979e-12,,3.7426604e-09,1.918314e-06,-3.733279e-13
PRSS21,-3.1667076e-13,-1.00406974e-11,2.96791e-11,-8.7897516e-11,4.721701e-05,,,0.0,-1.5806212e-05,3.841489e-13,-0.00012415112,,1.9816798e-14,-4.5478345e-07,3.2505657e-05,,6.050811e-14,1.4492663e-14,,-2.4747364e-15,,3.3772258e-09,1.160919e-06,1.0621116e-17,,-1.5740574e-12,-2.873292e-12,2.812263e-13
PROM1,-4.31748e-13,0.0,0.0,-6.031231e-10,-3.669911e-05,,,0.0,0.00014566374,-3.1892322e-11,0.0,,1.3858066e-14,0.0,9.7619164e-08,,0.0,7.9922895e-15,,0.0,,-3.9689004e-07,0.00026983497,5.1295294e-16,,-4.609483e-10,0.0,2.1579435e-14
NOS2,-5.7581405e-12,0.0,1.7131683e-15,0.0,2.931004e-07,,,0.0,-1.9256885e-09,0.0,0.0,,0.0,0.0,0.0,,0.0,1.7836854e-12,,0.0,,-4.8364438e-08,-2.4141878e-05,0.0,,1.2694477e-12,0.0,0.0
DNAH9,0.0,0.0,0.0,8.238609e-13,3.5403426e-07,,,0.0,7.039145e-08,-9.467015e-10,-1.7029898e-10,,-1.4778583e-15,2.6490954e-10,-6.86268e-06,,0.0,-2.2862553e-14,,0.0,,2.4458162e-09,-6.490818e-05,3.639701e-11,,2.5516401e-11,0.0,-3.6261294e-14
MATK,-4.413578e-14,0.0,-1.402307e-13,1.1214949e-12,0.0,,,0.0,0.0,1.2206335e-10,-7.999795e-07,,-1.0655918e-11,5.9604646e-09,9.136423e-05,,-5.788183e-14,-1.2805323e-12,,1.4683196e-11,,-6.194148e-10,-8.936286e-13,-9.3866246e-14,,4.4383352e-17,-1.192093e-10,7.02563e-18
CD79B,-7.5638225e-11,0.0,1.7915926e-14,-6.2758407e-09,1.192093e-10,,,0.0,5.514117e-06,2.063682e-10,4.9557006e-08,,-4.81669e-14,-5.3389915e-10,1.3245477e-10,,-6.790195e-17,7.752421e-12,,3.3073517e-13,,-3.5292689e-15,-1.3451834e-12,3.67017e-15,,0.0,3.613293e-06,-1.4385518e-13
TKTL1,0.0,0.0,0.0,-6.5866603e-15,0.0,,,0.0,0.0,-4.3028328e-13,0.0,,-5.127347e-16,0.0,-1.5894572e-09,,0.0,-6.88947e-15,,-1.2896592e-13,,0.0,2.3248196e-05,4.133846e-18,,-7.727538e-18,0.0,0.0
SELE,4.5822722e-17,0.0,1.118387e-12,1.2429134e-10,2.4638832e-06,,,0.0,0.0,0.0,-4.6609065e-14,,-7.2718206e-11,0.0,-4.1060977e-09,,0.0,-1.3602638e-16,,0.0,,9.262366e-10,1.6637843e-13,0.0,,3.4305034e-14,0.0,1.5168665e-11
FMO3,1.8409916e-12,0.0,0.0,7.438474e-14,-0.0019354913,,,0.0,-6.839092e-05,-4.8528807e-12,-1.3826894e-05,,5.7966995e-12,0.0,0.0,,4.562032e-15,1.2478095e-14,,0.0,,5.6764826e-08,0.00017936071,7.617206e-13,,4.067922e-12,0.0,5.902662e-15
DLEC1,9.150175e-12,-3.816232e-05,-2.8773595e-18,8.8478405e-11,-5.329034e-07,,,0.0,7.777927e-06,3.106803e-16,-9.071827e-07,,0.0,0.0,-4.728738e-06,,1.6919203e-13,-7.224938e-14,,3.912628e-17,,9.652823e-10,-0.00016917339,0.0,,-3.4766866e-11,0.0,4.5445452e-17
MGST1,-1.4541747e-08,0.0003442458,-1.3323437e-08,-3.140147e-10,0.004437256,,,-3.0994414e-08,-3.1274052e-05,2.260921e-09,-1.4805062e-05,,1.2954741e-09,0.000107333326,-0.000754167,,-1.0741414e-10,1.6225752e-11,,3.002893e-13,,-9.0414676e-07,-0.003000938,8.058584e-11,,-3.0224718e-09,-1.017541e-05,1.0995299e-10
IL32,-1.0470316e-09,0.00012945151,-1.6655328e-11,-5.627059e-09,-0.0006945482,,,3.565651e-05,-6.058703e-06,-2.3972158e-10,-5.7672554e-05,,3.4612685e-10,-9.715557e-07,-0.000824325,,-2.811814e-12,8.875958e-12,,-2.3354894e-11,,3.370692e-08,-0.0018298789,7.543625e-13,,2.7066656e-09,3.640643e-05,-1.0547282e-09
MED24,4.4780503e-12,-0.0002665084,8.620882e-13,-2.0037216e-10,-0.00015288097,,,3.020037e-06,3.7228729e-06,-2.5074414e-09,-6.8243426e-05,,2.7660496e-10,-1.3245477e-10,-1.2765059e-05,,5.1217346e-12,3.0208843e-12,,-7.1535165e-14,,-7.334261e-08,0.00050751737,1.1538119e-14,,-7.016175e-11,-3.4570666e-09,-1.7348284e-12
TRAF3IP3,-1.6122555e-12,0.00015513791,1.0247858e-15,-2.3265706e-08,4.301076e-08,,,-9.295941e-06,0.0,9.475517e-10,-1.0022947e-06,,-1.7534905e-13,-1.1788474e-08,-0.0002695574,,-8.6720426e-14,-8.0847634e-11,,-2.3317356e-13,,5.4170853e-15,-5.4186042e-09,1.5043893e-12,,-2.2863695e-11,2.681613e-05,-1.6639332e-16
SEMA3G,9.257658e-13,0.0,2.8829526e-11,-2.9918947e-18,6.060118e-11,,,0.0,0.0,0.0,0.0,,1.4179967e-10,0.0,0.0,,0.0,2.1420123e-14,,1.0073756e-16,,0.0,0.00012815313,-1.0121788e-12,,5.3553485e-14,0.0,-2.3390938e-13
STAB1,8.72434e-17,-1.9504131e-11,-8.851213e-12,2.865903e-11,-6.0548424e-05,,,0.0,-3.6817315e-08,1.7606753e-12,-5.1089694e-10,,-1.9258357e-10,8.07974e-09,0.00026618736,,2.9250644e-10,3.78084e-12,,4.36039e-12,,3.7479353e-09,-2.2026705e-09,6.3262763e-16,,-5.9096256e-11,-1.8696189e-06,1.5117841e-12
LRRC23,-9.958604e-12,-9.687444e-05,-2.0231773e-10,1.09334675e-08,-2.3021836e-05,,,0.0,1.04248575e-05,4.2911322e-10,0.0,,-3.1602592e-11,-5.543232e-08,6.133129e-07,,1.5141248e-12,7.142414e-14,,3.811177e-15,,2.936659e-08,-0.00016658635,-2.4814478e-12,,3.055387e-10,-6.365775e-08,-1.3571256e-12
FYN,2.6304839e-14,-4.210323e-07,-4.3064018e-11,8.3305923e-10,-2.4660287e-07,,,3.2782555e-08,1.3635379e-07,-1.04256035e-08,2.5218464e-05,,1.2106365e-10,-2.5166405e-09,6.307617e-05,,-3.1831157e-12,1.6932329e-11,,-1.1831981e-12,,-2.739396e-07,3.8702888e-06,1.9454402e-13,,-4.5370588e-10,3.29566e-06,-7.4087715e-12
PLAUR,-3.0004338e-10,0.00020615013,6.1135645e-11,2.3936552e-08,0.0002644766,,,1.7267643e-05,-2.8605922e-07,5.6728733e-10,-8.9873036e-05,,2.9109756e-10,7.51747e-05,0.00018792912,,2.8152794e-10,9.099562e-11,,-2.2434257e-14,,4.081834e-08,2.8853681e-05,8.4061e-11,,3.9196468e-10,3.8198573e-06,5.543147e-11
DCN,-6.4963652e-09,0.00071632245,0.0,1.46194425e-08,-0.00015057079,,,-2.9996336e-05,-1.5416033e-07,-7.669387e-11,0.0015196241,,5.322838e-11,-0.00017495373,-0.0001577731,,-3.623762e-09,2.42587e-11,,-1.7323363e-13,,-2.3500584e-09,-0.0014233689,-2.0798856e-09,,1.6159603e-09,-1.5757323e-05,-1.0715996e-08
ZBTB32,0.0,0.0,0.0,-2.500076e-10,0.0,,,0.0,2.7509836e-10,7.6565545e-17,0.0,,0.0,0.0,-6.537522e-05,,0.0,-1.2161347e-13,,-5.2997237e-16,,0.0,0.0,8.992503e-17,,0.0,0.0,0.0
TYROBP,1.2006892e-08,0.00055849267,-4.51446e-10,1.46859e-08,-0.00023678431,,,-1.3795682e-07,-1.0305259e-06,3.132514e-08,-0.0006820896,,-1.9731342e-10,0.00067196,0.00075899344,,3.961279e-10,1.1406676e-09,,2.150111e-12,,-9.588783e-09,0.00015326573,2.9171085e-10,,-1.970627e-10,-1.1162292e-05,1.2422259e-10
CD22,7.304099e-13,0.0,-3.6588367e-12,2.9158288e-12,-3.6795154e-05,,,0.0,0.0,-2.2091785e-11,0.0,,-7.335591e-14,1.0596382e-09,3.9478246e-06,,3.501019e-16,-2.8106757e-12,,0.0,,1.7766054e-15,6.1933573e-18,-2.0226288e-13,,2.7126467e-17,-7.9572203e-07,-1.2716589e-12
SEMA3B,-2.3161637e-09,-2.575226e-05,3.6603604e-14,6.2816616e-15,-4.1396328e-05,,,0.0,-1.17916834e-07,-2.404795e-12,-1.0485309e-06,,4.3648692e-13,0.0,-0.0001478479,,6.6289994e-12,1.2875004e-13,,1.8804648e-15,,-6.3211343e-09,-5.620282e-05,4.8861403e-13,,-6.020387e-10,0.0,-7.298505e-16
LTF,-9.214318e-13,0.00063589873,8.5138615e-12,2.654272e-10,1.1841079e-05,,,0.0,1.7184146e-05,5.423884e-11,0.0,,3.3019435e-14,0.0,3.9339067e-08,,1.839167e-12,2.8301955e-12,,-8.9807905e-15,,-5.0517452e-09,-0.0002701336,9.689715e-15,,7.454759e-09,0.0,5.444577e-13
ALOX5,-9.272798e-11,7.454693e-05,1.5062347e-10,-1.6530928e-08,3.4907094e-05,,,-1.308783e-05,-1.4726584e-05,-4.651116e-10,-2.4651026e-05,,-2.1311906e-13,4.1262767e-05,6.624836e-05,,-2.8562967e-13,1.3488371e-12,,-8.175862e-13,,-2.0146697e-08,3.5885162e-06,2.9890214e-12,,-1.5860186e-11,4.59523e-08,1.303393e-11
GPRC5A,-1.1499183e-09,-0.0004187977,-5.421986e-13,6.5308153e-10,-0.0004415989,,,0.0,-0.00044348565,2.1853941e-10,4.7184312e-05,,-1.2654954e-09,6.092919e-09,-0.00018615981,,5.8946095e-12,4.1824554e-11,,1.5070237e-11,,4.2953857e-08,0.0033725232,1.997484e-12,,-4.4830992e-10,3.8146974e-09,4.937255e-11
CD6,-2.0572013e-17,5.9604643e-10,-2.7106895e-12,-4.3055506e-10,-1.192093e-10,,,-2.4392903e-05,-6.790344e-08,-7.5121215e-10,-7.3228565e-09,,-2.1025605e-15,-2.853738e-07,-0.00015769151,,-3.900981e-16,-4.3560264e-12,,-3.693517e-11,,1.2230198e-09,9.734082e-07,-5.469213e-13,,-3.0884573e-14,-9.881854e-07,1.539447e-12
WAS,3.401398e-10,-0.00035804725,-6.819146e-11,3.3756449e-09,9.112623e-07,,,0.0,-2.1008992e-09,8.6007024e-10,-3.5212322e-06,,1.0998409e-10,-1.0125505e-06,-0.00013916894,,2.0897055e-13,1.1852169e-11,,-6.9560447e-12,,0.0,6.592763e-08,-5.707152e-13,,9.310108e-15,-1.210936e-06,3.0352387e-12
CLCA4,0.0,0.0,0.0,0.0,0.0041332617,,,0.0,1.169168e-07,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,3.0777976e-08,-0.0004603835,0.0,,-1.7236834e-10,0.0,0.0
IGF1,-1.2382616e-12,0.0,0.0,-1.5595303e-08,0.0,,,0.0,-2.3016563e-08,-2.4799668e-11,0.0003466314,,2.5632453e-11,0.00011101531,-2.4901496e-08,,-9.565222e-13,9.735928e-13,,-2.593984e-15,,-1.8357538e-07,-1.4376951e-09,-2.1388487e-10,,7.1627584e-16,0.0,0.0
SLC11A1,1.07554084e-10,-0.00012289634,1.0447626e-10,-1.9928978e-09,-0.00013842496,,,-2.5672727e-05,-2.0944158e-07,-2.1678975e-10,-0.00027982655,,-1.7877896e-10,-2.3040506e-07,0.00077667605,,-2.0434813e-12,-2.1085227e-11,,1.0393927e-12,,-8.2394784e-08,0.0003071262,1.8330474e-11,,1.07453164e-10,3.4644747e-06,1.7364757e-11
VSIG2,-1.0667026e-10,-0.00034138496,4.384219e-12,3.3323883e-10,0.00067728304,,,0.0,-0.00010088054,2.1038463e-11,-3.0522688e-06,,-1.1602196e-11,0.0,3.5683158e-07,,-3.4147668e-13,-2.0172412e-10,,0.0,,-5.292433e-10,-7.911577e-05,-5.6040025e-13,,-4.1716908e-11,0.0,-2.4453584e-10
MARCO,-6.994933e-13,3.9384404e-06,-1.8533663e-10,-2.973098e-09,-0.00011249899,,,3.3565044e-05,-3.227732e-07,-3.869229e-10,-0.00031615052,,-2.0797286e-11,0.000119753946,-0.0021471,,7.153819e-12,-6.090919e-11,,-2.7291204e-13,,-5.63949e-09,5.5035684e-06,-1.2003033e-12,,2.5239038e-11,-3.862418e-06,-1.07249154e-10
CYP24A1,-5.4381596e-16,0.0,0.0,0.0,-0.00046072385,,,0.0,-1.3015547e-07,0.0,0.0,,0.0,0.0,0.0,,0.0,1.2553912e-16,,0.0,,-1.346804e-08,-2.6493003e-06,0.0,,1.1329784e-09,0.0,0.0
RUNX3,3.6761794e-10,-3.4281529e-09,-5.943025e-12,-9.270416e-10,-4.7431433e-05,,,0.0,-4.4649547e-16,-1.6012167e-09,1.5326909e-09,,2.5175445e-11,-9.706287e-06,4.9955164e-05,,1.3041651e-16,1.0016017e-11,,1.4464432e-13,,-1.182033e-08,-2.659602e-05,-1.2221685e-12,,-1.9888742e-10,3.39365e-06,-3.115767e-13
FHL1,2.2935462e-10,-2.1385787e-05,-9.282046e-11,-4.077277e-08,-7.295417e-05,,,-1.170951e-05,4.7454467e-08,-8.6220947e-10,0.00022192921,,9.525145e-11,-2.1082826e-06,2.560087e-05,,-4.5851184e-11,-1.4206068e-12,,-7.658112e-14,,-4.4177324e-09,-3.9237682e-05,-4.3864516e-11,,2.1789491e-10,-7.832348e-06,-3.608935e-10
BIRC3,-3.9077125e-10,1.1821032e-05,-2.1735894e-10,1.3452126e-08,-0.0003283879,,,1.5468226e-05,1.7305714e-05,-2.0360382e-09,-2.8521248e-05,,1.264163e-10,0.00023928954,-0.00013942919,,7.694208e-11,6.781779e-12,,-6.906431e-13,,-8.826677e-08,-0.00010948689,1.0824553e-11,,-8.4824914e-10,3.007354e-06,-8.362918e-12
PLEKHO1,-3.6327757e-11,0.00010025017,-4.5952443e-11,1.1823626e-08,-3.9456412e-05,,,0.0,-1.2379426e-08,3.396518e-09,-5.478712e-05,,5.77335e-12,1.4751223e-05,-0.00017973797,,-5.03728e-13,-1.3763478e-09,,3.4618134e-13,,6.900187e-08,-6.563566e-05,-5.722634e-11,,-4.810566e-11,9.892047e-06,-7.565077e-12
HSD17B6,2.3222018e-09,-0.0013779901,5.5223478e-17,5.109034e-12,0.00020064355,,,0.0,9.950391e-09,-2.9304673e-13,-6.7744086e-06,,-8.3504526e-10,-1.88152e-07,1.5221073e-07,,2.6972318e-11,4.7300126e-11,,4.2235005e-17,,-9.5017e-18,0.0010354097,6.51385e-14,,-4.5523935e-14,2.992153e-08,0.0
VIM,8.372443e-09,0.0006733746,-7.287747e-10,1.0755834e-07,-0.0007491554,,,-0.00027355726,-1.1754281e-06,9.448202e-09,-0.0018884897,,-1.0806075e-09,0.0010022448,-0.0011095002,,-8.635614e-10,2.0981534e-09,,9.8336166e-12,,2.7742337e-07,0.0020420211,-6.6050505e-11,,6.5724217e-09,-1.5648298e-05,-1.452895e-09
SLAMF7,-9.412624e-13,0.0,-1.9312121e-13,2.520398e-08,1.2045233e-08,,,0.0,-2.1832185e-10,8.480229e-09,-1.8732889e-09,,-4.9769498e-14,8.5367094e-07,-5.7537686e-06,,-2.7711056e-13,-4.0368264e-12,,2.8401863e-13,,2.5218099e-09,-5.2018523e-09,-1.1142783e-12,,4.0156107e-14,-8.3118675e-07,0.0
PRKCH,1.4923451e-11,3.3661538e-05,-1.0330204e-11,8.413488e-11,-3.9310835e-05,,,0.0,-2.0038624e-05,7.3432385e-11,-9.3664445e-09,,-6.9054285e-12,-2.6490954e-10,6.02419e-05,,1.5377858e-14,-2.1570443e-12,,8.22115e-12,,-8.109041e-09,-4.4302997e-05,4.876237e-15,,-1.5909692e-10,1.5497238e-09,-5.38854e-13
SH2D2A,-2.1605952e-14,0.0,2.1290406e-16,-9.742417e-10,1.2296077e-09,,,0.0,4.3925986e-05,-9.531951e-10,1.0558537e-08,,2.7997537e-12,0.0,2.0993153e-05,,5.890427e-16,2.0700496e-12,,-9.137166e-13,,-2.4337685e-10,1.0766535e-10,5.8548365e-13,,7.682506e-11,-2.384186e-10,0.0
TNFRSF1B,2.5975537e-12,3.5076395e-05,-1.2267442e-11,-1.1867608e-10,-3.5840876e-06,,,3.3587216e-06,-4.5607697e-15,4.295527e-09,4.0719595e-05,,-3.8505024e-10,-2.814678e-08,5.166206e-05,,-2.4185226e-12,-2.5451571e-10,,-8.900962e-13,,-2.8756768e-09,-9.422679e-06,9.436851e-12,,-1.4402405e-12,4.3898956e-07,2.638901e-11
POU2F2,5.6661897e-11,2.0093177e-13,-2.5640549e-12,-2.9440295e-09,-6.5463782e-06,,,0.0,-1.6574677e-07,-4.1381315e-10,-2.3841857e-09,,1.8103928e-12,1.3245477e-10,3.3240105e-06,,1.07199576e-10,-4.432254e-10,,1.8612e-12,,-6.877793e-08,-3.1723137e-06,2.561649e-16,,3.8261543e-11,-1.3561845e-06,1.1096024e-15
IBSP,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0895663e-05,,0.0,0.0,,0.0,,0.0,0.0,0.0,,4.0910418e-16,0.0,0.0
APBA2,-1.3257289e-14,-2.9802322e-10,0.0,-1.9083315e-14,8.319707e-08,,,0.0,1.3161164e-05,1.7922008e-11,-1.7029898e-10,,-3.8863865e-10,3.1921598e-08,0.0,,0.0,1.7736038e-14,,3.309025e-13,,-3.8174024e-09,7.01156e-05,7.959055e-17,,-3.7825654e-13,-8.3446505e-10,7.8179976e-16
EFCAB1,0.0,-6.195592e-17,6.8510214e-15,-7.878212e-10,1.06996595e-05,,,0.0,6.999791e-06,7.6427744e-12,0.0,,1.0837065e-17,0.0,2.7684055e-07,,-1.1516449e-16,-9.949709e-13,,0.0,,6.248938e-09,-0.00024397568,1.9982797e-15,,-3.6047578e-11,0.0,3.8647285e-10
MYOC,0.0,0.0,0.0,6.938521e-14,0.0,,,0.0,0.0,0.0,1.1125378e-05,,2.8119332e-14,0.0,0.0,,0.0,0.0,,3.7121492e-16,,0.0,0.0,9.211972e-14,,-1.4237246e-17,0.0,0.0
DAPK2,2.51089e-10,9.811523e-05,0.0,-5.309159e-11,-6.123236e-05,,,0.0,7.301389e-08,-1.2766668e-10,0.0,,6.994825e-11,-8.212195e-09,2.6490954e-10,,1.1130429e-12,-3.8167914e-15,,-9.029348e-15,,-2.8494287e-09,0.00045605632,3.941175e-11,,-9.270054e-12,4.608393e-06,5.1953368e-12
STAP1,0.0,0.0,-8.975364e-12,-9.658915e-09,0.0,,,0.0,2.7968227e-14,-1.5886698e-09,0.0,,1.199361e-11,1.3245477e-09,0.00036801727,,0.0,6.3994157e-15,,-3.6967063e-15,,-1.5628183e-07,1.0837208e-10,0.0,,1.6596424e-17,6.7949344e-09,0.0
VCAN,1.2244106e-10,-0.00029642897,-6.1123565e-11,1.12941705e-11,-0.0002272903,,,0.0,-6.90883e-08,-1.6716876e-10,7.770372e-05,,1.6768822e-10,-2.8469165e-05,-0.0008300577,,-2.4477599e-12,5.140746e-12,,-8.0886686e-16,,1.3963872e-09,9.465276e-05,1.2676394e-12,,1.3945763e-10,-4.3439863e-06,-4.856514e-10
MSR1,1.8665447e-12,-6.19164e-05,1.1936703e-11,-7.45221e-11,-0.0003125292,,,-6.804099e-05,-5.7465763e-07,-6.8363926e-10,-0.00046210273,,9.570952e-13,0.00022687468,0.0020619254,,-3.920822e-12,-7.984147e-12,,1.5248703e-12,,0.0,6.0012126e-06,-3.5590174e-12,,1.3378592e-14,-2.7219694e-06,1.1692816e-10
DNAH5,9.082691e-12,0.00012586547,-7.9706613e-14,4.893855e-11,-7.7022865e-05,,,0.0,4.0056548e-05,-1.4622539e-10,0.0,,-1.0100398e-10,0.0,-3.0284473e-06,,-2.3367398e-14,-1.5953881e-15,,0.0,,1.0196732e-08,0.00069958274,7.630027e-11,,-1.0269261e-11,0.0,1.1836571e-15
