gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
FGR,2.639847e-10,7.638943e-07,4.0094614e-10,4.7973175e-10,1.1292508e-05,6.104778e-11,3.0597695e-11,0.0,1.2659737e-06,8.8951063e-10,4.1242347e-05,0.0,2.6991012e-10,4.2756667e-05,0.0005582136,4.1676143e-09,2.202964e-12,7.493629e-11,6.475311e-14,2.716679e-11,7.6365816e-11,2.8728572e-08,3.7601727e-05,1.6923424e-10,1.9653843e-16,1.2582518e-10,4.2426575e-05,2.8975074e-11
CFH,9.791272e-11,7.604414e-05,6.300351e-11,8.174775e-10,0.0006104678,1.3621371e-11,8.4573825e-13,0.0,8.502512e-05,1.746405e-12,5.720077e-07,4.7645426e-10,2.8131617e-11,0.0,1.1707841e-06,3.600354e-09,1.5922182e-10,6.3963537e-13,0.0,1.4566183e-14,8.237867e-11,5.654648e-08,0.0007937975,1.0516363e-11,2.8154667e-09,3.306447e-11,5.960465e-11,4.1743994e-11
HS3ST1,1.5165e-11,8.981594e-07,4.333328e-11,3.6940848e-09,0.0008416051,6.4811646e-12,9.0386317e-14,0.0,0.00017244373,4.3053835e-10,1.9338389e-08,3.9925188e-09,3.5351628e-11,7.69564e-08,6.978671e-07,2.9465896e-09,2.575641e-11,7.7027325e-12,0.0,1.52539e-14,6.121514e-13,6.51946e-07,0.0009797275,6.207295e-13,2.4871673e-08,6.373397e-11,2.4714766e-06,1.8464761e-11
TMEM176A,8.524885e-13,1.0226107e-06,7.972332e-12,2.6249877e-10,3.358687e-06,8.831697e-14,1.8871092e-15,7.8768335e-06,1.5510008e-05,5.1319984e-09,4.329956e-05,0.0,2.582864e-12,3.155097e-07,7.921501e-05,2.5273303e-09,7.7521783e-10,9.4690825e-11,0.0,8.2492353e-16,7.542156e-13,1.4952078e-06,3.8120557e-05,3.5069964e-13,4.4490238e-11,4.7384254e-12,3.391841e-05,5.584162e-12
TFPI,2.597582e-10,3.0401423e-05,2.0676412e-10,1.5878143e-08,0.0005007727,1.1096697e-10,8.1385705e-12,0.00038767705,0.00010272646,5.374956e-10,3.8132373e-05,4.808444e-09,1.937749e-09,4.5911842e-05,9.0118316e-05,3.0556027e-10,2.646348e-11,1.4761572e-11,0.0,4.2405046e-12,4.2915005e-09,1.7358434e-07,0.00031933642,1.1682509e-10,1.453825e-10,1.4740261e-12,1.563409e-05,4.7012352e-11
HSPB6,1.07707754e-13,1.3302504e-06,1.8696254e-17,1.660987e-10,0.0,1.5910464e-13,0.0,0.0,2.7223275e-09,8.754004e-15,1.0379166e-05,0.0,4.5120795e-12,0.0,0.0,0.0,1.3838338e-13,0.0,0.0,0.0,2.7809413e-15,0.0,0.0,4.843594e-11,0.0,6.5611304e-17,0.0,9.435822e-16
PDK4,3.2937453e-10,1.1523465e-05,2.1506286e-10,1.3892167e-10,9.844033e-05,6.2143294e-12,4.7992977e-12,2.3366294e-08,2.5074827e-05,3.1910124e-11,1.440602e-05,1.0425786e-09,6.797551e-10,4.4475e-05,0.00014991853,7.215739e-09,5.1169735e-11,1.5473393e-11,1.5879333e-14,1.3565538e-15,4.0656306e-10,6.4760975e-08,7.533825e-05,2.1722307e-10,4.9723507e-12,9.170803e-12,1.1875024e-05,3.477822e-11
ZMYND10,3.4335362e-10,7.4599056e-11,1.8862113e-15,1.09045075e-08,4.4624223e-05,4.3950432e-14,0.0,0.0,0.00016050026,6.4564486e-11,0.0,2.0415831e-09,3.6737224e-12,0.0,2.057153e-05,8.237333e-09,3.4415793e-11,1.9006274e-13,0.0,1.1473014e-12,6.1616116e-12,7.875963e-09,0.00033852327,1.0802158e-12,5.9983357e-10,8.213613e-12,1.04427336e-07,1.8506908e-15
WDR54,2.3586053e-10,4.1503185e-06,2.3173002e-11,1.7732382e-09,7.40893e-05,1.1402414e-11,5.2075607e-13,0.0,0.00018788732,1.3462865e-09,2.9240323e-07,1.1104778e-09,1.5596203e-10,1.972894e-08,2.0562104e-05,1.1272285e-08,1.0130406e-11,1.939534e-12,0.0,3.96688e-12,1.4121833e-10,1.9646303e-07,9.573852e-05,3.3769398e-12,5.32147e-12,4.3188365e-12,1.4631176e-05,3.4434532e-12
ITGAL,4.026587e-11,4.4759432e-10,2.2151246e-11,8.2125275e-09,5.345693e-06,2.3669173e-11,8.256091e-17,7.3561934e-10,1.2895236e-09,1.0018625e-09,1.728625e-05,0.0,4.7879456e-12,5.0895743e-08,0.00022542171,1.2734128e-10,1.180541e-10,7.3732125e-11,0.0,1.22660545e-11,4.7957684e-12,1.057633e-09,3.140943e-05,1.6923837e-11,1.2562094e-14,1.947137e-14,9.449348e-06,3.955406e-12
