gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
FGR,0.0138183997589916,0.0173355796203797,0.2217696862214448,0.0598577686536317,0.0022137483054137,0.0639525886807676,0.1485790925248037,0.2192328736497927,0.0033682589432237,0.4571170402513551,0.0104931936203509,0.0,0.0906016226432331,0.7033174140592111,0.0761908532603825,0.4974794339935506,0.0284428115908811,0.7238254523666972,0.8306128557612754,0.540573133223339,0.3040366443904582,0.0010347893797271,0.0021091960785171,0.0113099646487138,0.0005688149896945,0.0035686609424992,0.0510043933883313,0.1324992762083821,0.1933345032146824
CFH,0.0275345456374613,0.0495662001737518,0.1264151903039969,0.017543014851219,0.4355254276191826,0.1083756573155703,0.0267894675951662,0.0075459639832956,0.2270784875322576,0.0459759929172421,0.9435434710547088,0.1527086750897194,0.1643422477311015,0.020137846140522,0.01066271655758,0.3484273742924901,1.003292436785652,0.0140647080810719,0.0,0.0169287880665469,0.0271935369034783,0.0995620812502393,0.3577012859393874,0.2493799632372606,0.1677520482226743,0.3025203732288979,0.0273860166874802,0.0820135705295471,0.0848582942274269
HS3ST1,0.0052053722567755,0.0034511174354433,0.0291558382777121,0.0256465683638361,0.2539756952785614,0.0714583828870087,0.0216204182259628,0.0508711180398937,0.1924261534924951,0.0578842185451371,0.0145256361194661,0.0225034970582452,0.5391167022835968,0.0292971300749527,0.24905631372181,0.2219518053571757,0.0964221387717851,0.0300764081382834,0.0,0.007241419886696,0.0164227826469226,0.1937433199363572,0.4149605887419409,0.0117025066153822,0.2411509852808522,0.1749576733394239,0.0078602074846159,0.1048412523870264,0.0184123068717755
TMEM176A,0.0059744395316555,0.0087982477050736,0.024213300063391,0.0117958624644033,0.0021512487681238,0.0229212079439472,0.0072598291641248,0.0363709124138876,0.0450906326945019,0.3707224671097021,0.3586201492983717,0.0,0.0356905091260972,0.1271789493041295,0.2847063196603857,0.2455170563240008,0.8513203553124495,0.1994254739958014,0.0,0.0097612074890932,0.0582026771048273,0.2222831411086291,0.0251371189972028,0.0466434018788703,0.0062376060173414,0.0230593855244386,0.0059602098707868,0.1598811478029106,0.0450861079324088
TFPI,0.1443974373787192,1.1965525676862776,2.096377648916978,0.0217430030993147,0.0583057822220124,0.7771883096178742,0.8271824080093365,1.2621763228933531,0.0754979156082059,0.0591509536120815,1.126723571569687,0.4849875518839436,2.287267672572565,0.0876676808888679,0.0386512497558911,0.0886889368104564,0.191429727774305,0.0721474143675774,0.0,0.0202973155917603,0.2019182171633067,0.2900751807210439,0.0804490230481305,0.6164773625002701,0.0349125674420917,0.0797610502548402,0.0128776048112435,1.4200139741929032,0.5775823628302945
HSPB6,0.0019829125722093,0.0016742536147943,0.0055491972788808,0.0055186198861059,0.0005392017025645,0.0055920068413669,0.0,0.0032129792147553,0.0006953904565527,0.0037371716840146,0.3037006266058635,0.0,0.005883075967996,0.0018381490983885,0.0036277411356705,0.0,0.0757376765720364,0.0028711350999218,0.0,0.0032049829123997,0.0019237750787985,0.0,0.0002453154543547,0.4106772656451889,0.0,0.0003968261626133,0.0014788777065901,0.0028946673486373,0.008813160059096
PDK4,0.0987979788738826,0.0752415336954426,0.9032385051921896,0.0227449517998574,0.0279643366347587,0.4687643633648409,0.5304926884519239,0.8675898478696915,0.1504699381349182,0.3943368485129801,0.6094137270049268,0.1015994435543347,0.3534004130026139,0.5606031732525869,0.0400038384772276,0.5550643323629706,0.1708554173579988,0.2304324736809112,0.4784398436150317,0.0187959317822054,0.3383546549111044,0.0397653087346104,0.0295310389656923,0.990519934438818,0.0090042367454599,0.0511300838826833,0.008208982139851,0.5673920257673161,0.2129816849782332
ZMYND10,0.0085602182526285,0.0144983347160619,0.0048079259722489,0.0167370352707384,0.0149477819339954,0.0043145381733496,0.0,0.0047078731858168,1.185895146904165,0.0062774985625503,0.0066635045171474,0.0405271667487036,0.0050486347372875,0.0048475550610643,0.0117516373757347,0.6048446335655789,0.0131281057889772,0.0101217247248492,0.0,0.0086899590114942,0.0259971272845469,0.0878842545411582,0.0507452800505473,0.0050119018746093,0.0180725035005708,0.0183970634039383,0.02260625466795,0.0111348276622063,0.0073290409374194
WDR54,0.0256544252928151,0.0385955099299361,0.0751231018081158,0.0850297857076501,0.053227408726091,0.0998617379415195,0.0714212493277293,0.1000819084720453,0.992400171872557,0.0474132812793059,0.0702124815756147,0.1933783932429959,0.1182831880628045,0.0198893202759908,0.0533045117886338,0.6863405886223956,0.1086519481278776,0.0310644420887254,0.0,0.1001903865600731,0.1157963321827555,0.1401168301733938,0.0477293605259614,0.0766846667793785,0.0164696514578842,0.037449524298253,0.1113369798727878,0.0918151839325971,0.085134656081175
ITGAL,0.0027538496447253,0.00485019447352,0.0154650367583234,0.0660339746210902,0.0018479822671131,0.0008656997375822,0.0084152481706716,0.0047032003956871,0.0139292935470661,0.095608824087344,0.0038348702526476,0.0,0.0068412954634551,0.1486664803897665,0.0266010204148247,0.1140682196612964,0.0084590691359856,0.1657838800457425,0.0,0.3564651107985156,0.1249712117737676,0.0015488593089328,0.0015163728368298,0.0041729267334354,0.000816217588635,0.0016351949752112,0.1684450478034782,0.0140214801180372,0.1135085822056295
