,Basal resting,Suprabasal,Hillock-like,Deuterosomal,Multiciliated (nasal),Multiciliated (non-nasal),Club (non-nasal),Club (nasal),Goblet (nasal),Goblet (bronchial),Goblet (subsegmental),AT0,pre-TB secretory,Ionocyte,Tuft,Neuroendocrine,SMG serous (nasal),SMG serous (bronchial),SMG mucous,SMG duct,AT1,AT2,AT2 proliferating,EC arterial,EC aerocyte capillary,EC general capillary,EC venous systemic,EC venous pulmonary,Lymphatic EC mature,Lymphatic EC proliferating,Lymphatic EC differentiating,Peribronchial fibroblasts,Adventitial fibroblasts,Alveolar fibroblasts,Pericytes,Subpleural fibroblasts,Myofibroblasts,Smooth muscle,Fibromyocytes,SM activated stress response,Mesothelium,Hematopoietic stem cells,B cells,Plasma cells,CD4 T cells,CD8 T cells,T cells proliferating,NK cells,DC1,DC2,Migratory DCs,Plasmacytoid DCs,Alveolar macrophages,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Monocyte-derived Mph,Interstitial Mph perivascular,Classical monocytes,Non-classical monocytes,Mast cells
FGR,0.0,0.0,3.5201176705246233e-96,4.864790007425862e-23,4.402165390554048e-108,0.0,6.9557341374806215e-220,0.0,0.0,1.0430592434382898e-35,6.912462733179523e-23,1.8948540095552392e-28,1.3003955730926891e-83,4.933384042178682e-14,7.419674381066483e-05,0.0002760632544669481,2.6535221559678147e-34,4.416792074166764e-33,1.6985044824833248e-13,1.30568783551487e-28,3.664805236516242e-156,0.0,1.2043253634770787e-17,5.143434657140626e-18,0.008171722014105525,3.714110902683819e-20,1.7897324356047657e-98,6.316961627640467e-37,6.218942071225394e-27,0.7265563650317112,2.1696167291629868e-10,1.1176626810693911e-35,1.5689470500595196e-191,2.893983512795894e-105,3.6935471618736973e-63,0.0002456142000851096,2.0453392800053197e-16,3.224451862898259e-57,5.865636249188512e-09,6.382273591436463e-14,7.8173001749798e-05,0.06341513326276622,9.27342124351028e-55,1.456070389092395e-23,0.0,7.355094679886006e-210,0.8519305728381972,1.1283864289533738e-235,1.7644500331164315e-18,9.281314932849348e-125,0.22289212573107042,2.8652224297279635e-10,0.0,0.0,1.3629147159488388e-173,5.813239303731506e-236,0.0,2.5954857271192618e-81,0.0,0.0,4.330643054443561e-87
CFH,0.0,0.0,0.0,0.002319820229094021,1.1389244061635629e-70,9.055552186470604e-188,4.652611745846382e-140,0.0,0.0,2.798593945886567e-64,4.187419602378184e-34,0.5445257466096096,2.9539779238312185e-143,0.1155543560505401,0.4060056879962436,0.00720513622385015,3.611132149744356e-14,1.484409981882901e-29,0.5747063617127757,3.8402285305039923e-205,6.016333176787832e-164,0.0,1.341302125151268e-11,9.599587879679114e-33,3.111005534545564e-175,0.0,9.66646105913283e-19,8.084725379159943e-114,3.2317981828305866e-06,0.5423769136812158,0.0005622983644791367,0.0,0.0,0.0,1.2806673111251306e-22,2.136583204389696e-68,4.079789076964551e-250,0.27950192918808325,3.6491735447042133e-06,0.0020440934418669275,2.1395272750914692e-64,0.1791774746607897,2.965138105806332e-105,2.344442304792203e-37,0.0,0.0,2.6978145117418393e-12,0.0,4.382481029039782e-08,9.932408490985369e-147,1.9141593476227986e-07,1.6342667869961886e-14,0.0,2.3231870795951397e-182,2.2361559614731103e-30,5.316816641593584e-22,0.0,2.000969567400888e-27,0.0,2.246401613317985e-210,3.073238915451579e-154
HS3ST1,0.11867604391653948,0.0,0.0,6.066433097941483e-10,1.5726365833348747e-51,0.0,0.0,0.0,0.0,1.4228993696798076e-169,1.8942616843150195e-20,9.875378401066387e-11,5.200060212253262e-57,2.2228522901240132e-07,0.12915540605849535,2.9507467952815147e-20,2.0306494269083375e-16,9.749876613298823e-17,1.0124371561878469e-06,1.6654378675499796e-39,2.369827725362596e-104,0.0,9.58304150869889e-13,2.942065009305207e-73,1.521084333762892e-86,7.524643589997501e-109,3.004914837765757e-32,1.8634017561610536e-13,2.8559850886518952e-154,0.0026544628716022077,9.200873991415632e-25,7.733295533055355e-20,1.8730818334130718e-94,1.2999186914643228e-64,2.833724968443691e-33,0.03099569721848775,5.4550490834793376e-11,1.1572679121427675e-31,1.1017244190149785e-05,3.640228160617248e-07,0.02813546491579462,0.057783811856272425,1.634295075140087e-44,1.946275191332207e-23,4.648244294431043e-274,0.0,2.0950478812101676e-07,3.5907846185452155e-217,0.05509806746602796,6.347141752953471e-41,0.0002381465194735302,0.04082275081052287,0.0,2.5008143227562105e-88,4.405044491289942e-16,1.3524588770809867e-10,4.398214015043057e-59,2.2895329335541193e-21,1.2840080955855637e-180,5.695414362368183e-85,0.00012960438913850241
TMEM176A,1.7971928507221313e-101,1.0427202564959142e-88,1.9828768497420516e-12,0.0048546974172621335,2.0805021771277219e-10,0.0025558719925558335,2.262899181079633e-05,3.9294324779664185e-70,6.954431011052262e-82,0.1564321062815702,0.918343874707235,0.5953076802012824,9.62271224009126e-35,0.8675257973710342,0.2474061122923219,3.181542779743695e-75,2.7293930655871796e-05,6.957083102278826e-05,0.020724035907454055,0.04640808311349037,2.4671723780233425e-20,4.9859136406622205e-129,0.006763057741654102,4.555099893856149e-14,8.645184380965025e-19,1.232740429308469e-16,1.4975694307177063e-09,1.528538268428532e-25,0.005462409888700199,0.563365938742188,0.0358666355454923,2.486967250139646e-61,0.0,0.0,6.230157299304271e-08,4.3348567353130246e-79,0.8713112991607252,0.10102064639290076,0.33146065845739037,0.26576255421288053,4.602875479076886e-72,0.5300806201966577,7.048301971275853e-12,0.002556058573934605,4.719912510494933e-53,1.8248843885435917e-70,0.03985398522459663,1.0259569824363479e-41,0.13638209431358464,3.715371895851266e-162,3.365605632504218e-113,0.022876778276194883,0.770529862832885,0.6606669766737205,0.008944581792025499,0.0010775040413204752,0.0,0.0,7.279935873198158e-48,7.822626518420173e-63,7.831012275422692e-60
TFPI,0.0,8.671482418709366e-13,6.054245726358414e-08,0.5941577957278216,4.463344562414091e-139,0.0,5.064091168569365e-142,0.0,0.0,0.002711329711595112,1.2215111903735828e-21,0.17721327741050596,2.3326077204198147e-25,3.002386884876177e-21,0.05710906017877517,0.06342724837634936,5.733462928432002e-54,2.3611578569829104e-50,2.162649026822383e-16,0.01531355196997706,1.3086499020518187e-218,0.0,8.916616753918074e-85,0.0,1.3895169938156342e-268,0.0,0.0,0.0,0.0,7.70465306359382e-14,1.5771570770173692e-204,9.906491245343456e-195,0.0,0.0,0.0,1.9938299674465282e-11,1.1945502654978735e-05,5.117083749311297e-88,8.915747331184169e-09,2.7551369989849348e-42,0.0035646588709568184,0.0036209861509971294,1.2284887697263465e-151,2.988727057164074e-46,0.0,0.0,3.2628445872221966e-16,0.0,2.7055296871950674e-10,7.202226420878574e-225,3.1735099671587785e-06,1.0003388524062235e-13,0.0,3.125986844052789e-147,9.77787816255583e-16,2.2308375771409786e-06,2.2962610869103734e-251,6.742955011683981e-64,0.0,1.365424588495074e-187,7.639496400590168e-201
HSPB6,2.0359365832212972e-07,8.105212797780826e-07,0.2407365373971404,0.5517477277696599,0.05545826570035709,4.295895067655642e-07,0.0066092546172474165,7.774659744160164e-06,1.140686272246093e-07,0.2633119519251108,0.39470134124208345,0.39146913128987804,0.10181288480573436,0.5171687691244473,0.7254726178722153,0.7303133367932712,0.3148382624731245,0.30293309274336255,0.5262789175700475,0.3287269364078971,0.020572809323467042,6.549911375400011e-10,0.49062982352857687,0.049748183529543584,0.030542385976837727,0.0015408441281605967,0.10373355994938943,0.05204510752169305,0.18510557735627287,0.8567851335198406,0.944130350194824,2.8098186479357216e-18,0.0,3.333669351695666e-279,0.8043638265067002,2.745919545486786e-16,0.003204368281130875,1.134309111278425e-144,6.451614171924149e-06,6.705795392801823e-97,0.47157685998370735,0.9917331078626943,0.11277959306989913,0.4327881088501482,0.0001605882136002414,2.0134509720773863e-05,0.593001906635128,0.0005006675412741259,0.6236976577237974,0.04776646009236764,0.7732695175483251,0.5205522981822042,8.576856798033277e-10,0.02047762127020536,0.4236691373327176,0.4638268091889308,4.772431323448472e-05,0.13916613641266432,0.0010198893966549345,0.01978070647082564,0.060689918838197306
PDK4,0.0,0.0,3.1878501987004348e-74,6.858758453074559e-12,3.316095147708189e-26,0.0017390008710140364,6.648969063275564e-200,0.0,0.0,1.698921691881265e-23,2.7970778539442226e-25,5.048681935568127e-07,3.6968066730980055e-36,9.579457811169474e-12,0.0007777112018252403,0.12252859919316866,1.9517035326410443e-32,1.3147463215482576e-27,2.608741225797056e-13,0.121126874347396,1.115253783095593e-71,0.0,0.12692276677618605,0.0,1.524012211146653e-267,0.0,8.887068696553014e-05,3.678430797087989e-142,0.5184473148087467,0.49930314480724436,3.988365646176174e-29,8.052915190838012e-09,0.0,1.6102252260388203e-219,5.9442303292192246e-235,0.000924481575002092,3.426729404144467e-63,3.995561700801899e-169,0.0009200727908536202,1.226587973522637e-138,0.019252845096504302,0.01542957353882401,1.4531320412201406e-104,1.2089322606681737e-33,0.0,0.0,3.331543433955141e-10,0.0,5.0383848942555545e-06,2.061337598617879e-05,0.0010897115946348075,2.758965205421975e-14,0.0,8.254385536691605e-15,8.270734248461734e-10,7.108480576131576e-141,0.0,3.1901310262413154e-225,1.0131019966743195e-58,1.6755983931809813e-112,4.49102996255568e-145
ZMYND10,2.2909164186330454e-90,1.5460419309739884e-10,6.593005580146031e-10,0.0,0.0,0.0,1.9387739206157023e-21,4.442752905500174e-55,0.1191888366511587,0.40412338170911144,0.3110307894889296,0.00015499853643181693,1.6344798337506668e-09,0.027492820905583457,0.2559054474492699,0.5716436487064864,7.890155516075734e-07,5.106686038058641e-05,0.01958366129108865,0.11807372067679935,6.242693057956836e-27,1.7943039063278564e-150,0.4136783659349732,2.3937595597458834e-25,1.8030915211555546e-25,6.034505121373458e-57,4.809635013266159e-18,9.81094373088988e-24,2.8149869064693577e-14,0.9669330603564569,0.004359203252445326,0.00015116448669175403,7.91880605719245e-34,6.736514449749154e-19,7.103150432423411e-12,0.05276691433636896,0.000906652448130856,2.7792665036756797e-11,0.01860076411508058,0.011051247012320733,0.13137074120408593,0.43413033240925236,5.0259335679716045e-15,1.8864321264483692e-05,4.0930958072738447e-66,1.7799627487305868e-74,0.123572178703807,1.191594544950063e-52,0.1183918431619655,8.225520909421068e-25,0.029445524624473175,0.004951301695865183,1.171298668278025e-232,3.90128327918081e-20,1.561482813930958e-05,0.060911781395557876,9.849658575581488e-97,8.943282847109626e-18,3.96661044426285e-56,6.89448494112708e-30,7.101856616904669e-21
WDR54,3.620537289906418e-24,1.2840454709948214e-25,2.6325604381006175e-05,1.7330630306117108e-234,0.0,0.0,1.2655889003230272e-45,4.222050839349585e-107,8.288497589519596e-54,0.9669443560942135,0.0024413470769018178,0.02603820291507039,2.581999349028484e-08,0.72869657943116,0.09375176898381435,1.0252007549082157e-08,5.202028430765958e-13,1.912097979489719e-11,0.013159962793069342,0.04554095288816215,4.857728918673037e-49,5.904643836520272e-181,0.09517194866159179,6.40876788515195e-07,0.0760776927703734,4.210350754060871e-46,0.9154671256227707,3.212998701766947e-10,0.20070704512343385,0.11624827103175166,0.006281371419074146,0.0066134246779667675,0.820244348412405,9.617903310484015e-15,0.4171830971398828,0.9429659962064244,0.03018483059718052,0.013658656865410474,0.00707813028342867,0.5149418936129249,0.0018145125596128115,0.2990633293943038,2.5498510920627863e-12,0.7196923906808326,1.3507936333398559e-20,5.370758771202927e-38,1.816288719634943e-29,1.3263807045596077e-25,0.7085418416055246,1.3012881518879672e-23,0.9728698840570871,0.5665708251669433,5.255426831994437e-300,6.977308192722928e-28,1.077722137884092e-10,0.20153473272000844,4.082305713076502e-161,6.530774713684904e-29,3.5322397159929556e-106,2.7257293776008782e-42,5.717920432737267e-25
ITGAL,1.7729965411009504e-135,3.5751523184697344e-132,2.1443411358589735e-16,0.0008086755035324576,3.4442231980170447e-09,6.254249240747462e-47,3.15329210459469e-33,5.3128946324422055e-90,1.2998899201302503e-124,1.997320617903679e-06,0.00010804670020109052,1.3196913107193801e-05,1.6456995068833685e-14,0.0032142154580218833,0.11017486945902014,0.15196593213268378,1.7833566135575287e-06,5.365704510615449e-06,0.003942855683307342,0.00011119129444257599,1.4281003277997484e-27,2.305272194451643e-186,0.00024359019439220946,8.85307817763979e-25,3.834873062765809e-24,1.38515535454626e-52,3.547720256536704e-21,2.966530794484401e-20,1.0066702577218693e-12,0.5105614554831142,0.00387993203979804,3.547457779921519e-06,2.613253546904597e-31,3.970734182834667e-17,3.698852534950795e-11,0.12065198530871603,0.0008710755564404531,2.568119510353433e-10,0.029027257667052497,0.0033538009622135945,0.18587086058960167,0.6015437871212899,0.001187913996747937,0.0852421380616052,7.289456832532254e-11,1.1658212288187597e-111,1.9745324540288155e-32,8.8694966104013e-268,0.00013222173538721092,0.9788032001399323,0.411474959370122,0.9352415138734854,0.0,0.0,0.49261023340078525,4.6489499463475515e-42,2.4714092761851735e-28,0.16568624491123507,4.1872564208537815e-18,2.32341298935722e-255,3.1751665024384114e-15
