gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
FGR,2.556183823004872e-92,1.544930383976608e-81,3.823587817607381e-15,1.258750095519394e-44,1.1544063025444125e-105,0.004847980618594709,0.35456636899687355,0.3831192976056489,2.204552103718497e-102,0.0,2.9604793143964865e-91,0.39104805890240335,7.941029684565131e-15,0.0,7.748562045497321e-40,8.478513819188062e-05,0.005359875706961082,0.0,0.3531688314179675,5.751111062090547e-207,3.502003268532686e-61,4.049123985274677e-14,1.331100140816058e-105,4.355743215836176e-43,5.572310341459432e-20,2.7270983803259944e-100,1.2329852196647732e-66,0.0027938505210554783,0.20347937611760125
CFH,1.2356350957437722e-72,3.025705496271809e-41,8.878991928769397e-12,3.0988753945549197e-87,0.0,0.12328198252436091,0.0006809623527417021,7.336822003795748e-107,1.0587646564641687e-89,3.2598210479095624e-47,0.0,0.21298903053984863,0.6429731814283681,8.454598629203065e-76,2.160275221644856e-100,0.018436172372650404,3.5065652101552872e-99,1.3410777021947518e-96,0.7090877842213688,1.2653864441457211e-92,8.060396174562285e-17,0.16746468616765897,3.582547045863507e-224,1.1110477038135613e-06,0.1757923628373932,0.0,1.7015524817684376e-90,1.7189310546482793e-34,1.9508946269462877e-42
HS3ST1,8.63144661121425e-52,9.145044320395053e-53,3.1552703928714297e-31,2.0252723759524024e-37,1.1210497300439364e-272,0.3404459431925695,0.01447424321637295,4.536984213031141e-28,1.1717779565162091e-114,3.540200235999339e-13,1.5136552969489551e-40,0.9352488287429487,2.539019329250675e-239,1.375340712643596e-29,5.098670428138051e-17,0.043477810679310384,0.5026792290340715,1.4454879516196542e-35,0.790910169330959,6.742270047359861e-53,8.231943112780963e-10,3.496246173303451e-29,0.0,4.1820203456157466e-22,2.5244569689604225e-13,1.068631426214471e-105,1.8740862768337222e-52,0.0018671440984741963,3.86935897388118e-42
TMEM176A,7.578694672879295e-26,2.0870332610680285e-24,4.554887468567507e-16,1.3196717399878145e-21,1.7926465045701785e-27,0.051600541095769614,0.048303952432595394,2.885171647888169e-16,0.0041686690157787835,1.8684060437523323e-204,0.0,0.6523483894056712,4.260219978878997e-08,1.080288031043355e-13,5.908861546250799e-45,0.029602346631334014,4.162242240408729e-93,1.3463738826196146e-22,0.847672909843046,6.516225344003593e-25,0.6934563799483902,9.047183187560798e-13,7.406895639901268e-16,0.0004352113447462396,3.5548088976275206e-05,9.791642667340287e-09,1.2083139867291407e-28,3.622615913560715e-05,1.3502924528806998e-12
TFPI,1.4680590015885742e-150,0.0,0.0,0.0,4.359056211653747e-175,4.116681784812558e-19,1.5161622502368301e-05,0.0,6.350262368609852e-221,8.271987663103695e-283,0.0,0.11040870705167935,0.0,4.088227141349186e-244,0.0,0.7016380072968306,0.08261876359106116,0.0,0.4647392281104916,0.0,7.023085958884512e-13,0.003806754996081081,1.2222611913423766e-223,4.380001069132616e-48,1.035182917743222e-56,7.088748333327331e-122,0.0,0.0,0.7567436299211328
HSPB6,8.469561743678379e-05,7.780951269628828e-05,0.0008846946411631304,0.0007203947989685298,4.541084367741807e-05,0.4253503794109482,0.4549135120133365,0.00011987628225035617,7.093118539994448e-05,0.0004124726105579853,0.0,0.8716703564190476,0.008060763998460027,9.222660385403657e-05,0.00018367432837402726,0.8716703564190476,0.000569621975155265,0.00021532743629261566,0.9450872000367811,0.0002258073195026377,0.05946027030770723,0.1486118635208255,3.45750073160961e-05,4.177584037005684e-220,0.08168971638854017,6.601939791285869e-05,5.941736880410089e-05,0.00011968782164159797,0.0023186267146488746
PDK4,1.8770729104000303e-68,3.2116879552613545e-67,0.0,2.756475488916388e-153,4.0565234653212682e-115,7.731809276715782e-10,0.0023136166820232765,0.0,0.029405865014588185,5.00012377653819e-48,0.0,0.7669064460685467,6.99790821926369e-05,0.0,1.1560708799265585e-148,0.0007863005065079313,0.6254133088451357,7.123621388285141e-13,0.5528777059271579,7.128922979636916e-177,4.1057755098878497e-25,3.9337483400286416e-10,2.8544261494171105e-136,1.3694056253208695e-306,5.1503406097777886e-33,2.0213827442648927e-75,2.05005942466111e-193,3.852960507152975e-122,1.4310977802192703e-33
ZMYND10,5.089469976793702e-12,4.212658799981903e-08,7.891637193433194e-12,1.6746606204051584e-09,0.004504163484453456,0.07868070272638501,0.15206515059393297,3.892319478450145e-14,0.0,6.698888901964631e-12,5.296296625779596e-12,0.8234601098794682,6.532235167078329e-09,1.0056545432611185e-12,1.6647259092159397e-11,0.0034602230901045004,0.2692115718259134,1.0211959027531057e-11,0.8949688659695603,1.532570375815391e-12,0.43948590443783153,0.012422941356880709,0.9909553452621048,8.29683375688717e-07,0.03138624167082812,0.008338277288459204,1.7243023550018088e-09,2.759386159079503e-11,4.693137265829873e-13
WDR54,9.548738508854542e-31,7.06044415681562e-15,3.475332644324753e-05,7.372788062803628e-06,0.9547172274162223,0.6487854252690928,0.29063445700823076,3.7704381634300927e-05,0.0,6.067428685781493e-12,0.07618046072379202,0.042931277210733323,0.14073573267157755,8.47899052182673e-30,7.321612344862743e-21,0.004863093080263948,0.00016419214712796085,9.020382273340488e-33,0.7960898130425165,1.1396528492629468e-05,2.9619609813235177e-09,1.2855186322781268e-11,2.095585678874856e-13,0.1714474955818206,2.0210342815570965e-07,0.00288962152408247,3.9781623448958303e-07,0.01604980048423369,2.4081280410552125e-07
ITGAL,2.4664339024691547e-16,1.0304006881826228e-14,9.713512690773816e-07,0.5360183755542518,8.319718893757476e-17,0.03753875560599146,0.1500250892545109,4.077672939687681e-16,1.4207023902047312e-07,3.2410019085202425e-16,3.2374753757350542e-15,0.7373596057263162,6.848119102890838e-10,6.913886424778795e-123,3.064118171829732e-08,0.07838799977468286,0.18242349326489826,1.327694618846534e-34,0.8862981890963028,3.2311866931670835e-181,8.895332119310272e-29,0.00683600225192292,6.965239469205662e-17,8.013400259003762e-08,0.0003626364452330314,7.333712285746824e-16,4.674402972618659e-12,1.5235445782169907e-08,6.14895541286003e-05
