gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
FGR,0.00045730482,115.90859,0.0005412014,0.0006029941,37.234882,0.0004103186,0.0004647491,64.2659,15.499511,0.0005392629,37.783688,0.000602223,0.0005320062,269.2475,11.603143,0.0005017545,0.00058586494,0.00056292757,0.0004242472,0.00045369475,0.0006151642,0.00054838526,27.23588,0.00050250656,0.00058594375,0.00051729276,82.62682,0.00047221975
CFH,0.00038794204,31.934937,0.0005023114,0.00056987384,108.55357,0.00033245474,0.0003693097,37.192272,83.72595,0.0003803695,75.12187,0.00042496124,0.00051783683,61.88997,3.6723447,0.00038061346,0.00044530872,0.0004410682,0.00040019816,0.00041663687,0.00044858974,0.00043138218,143.52115,0.0003547942,0.00045938411,0.00037196156,38.469658,0.00041327672
HS3ST1,0.00040241962,27.574543,0.0005108415,0.00059853814,150.43605,0.0003514308,0.0003814077,23.57002,68.55809,0.00040555536,10.012438,0.00042858394,0.0005489637,55.090443,8.471428,0.00038888137,0.0004453602,0.00044142854,0.00040299838,0.000416103,0.0004651877,0.0004465638,187.01436,0.0003515947,0.00046906012,0.00037879235,23.936396,0.00041335085
TMEM176A,0.00033291898,34.4601,0.00045971188,0.0005151218,19.045351,0.00030700464,0.0003209981,18.955305,15.564832,0.00034296964,34.38696,0.0003687313,0.00051566586,91.354904,7.680141,0.00033751916,0.00035199517,0.0003808837,0.00033613856,0.0003738958,0.00039854663,0.00042274184,24.687176,0.0003181896,0.0003753587,0.00031262226,41.406105,0.00036824678
TFPI,0.0007366894,310.2594,0.00087814336,0.0010366978,63.462074,0.00063031237,0.0007366809,174.22942,50.519554,0.00077433157,68.04299,0.000899951,0.0009650573,356.90918,9.234657,0.000782336,0.0009061368,0.00088975724,0.0007213384,0.00079328223,0.00091460015,0.0008979608,69.5458,0.0007891603,0.0008609234,0.0008127507,112.290436,0.00076882343
HSPB6,1.8001134e-05,6.751587,2.4275458e-05,3.2370925e-05,2.0830376,1.7044977e-05,1.8570418e-05,3.696382,1.8753362,1.8252138e-05,31.934137,2.3327184e-05,2.1707201e-05,16.65341,0.93925846,1.993617e-05,2.2319384e-05,2.6897153e-05,1.7007123e-05,2.1478781e-05,2.1287029e-05,2.055275e-05,1.8671584,2.0740652e-05,2.0451129e-05,2.0291543e-05,7.48448,1.8376397e-05
PDK4,0.00031579816,98.809845,0.00037110577,0.00041041482,35.990578,0.00027648386,0.0003053239,127.80764,33.898827,0.00031830097,47.004513,0.00037507972,0.0003816526,223.54608,5.1124587,0.00032167207,0.00037223546,0.00037778326,0.00029720864,0.0003211296,0.0003832402,0.00037765506,35.50017,0.00033265032,0.00035353733,0.000324368,56.635265,0.00032035328
ZMYND10,0.00045461458,24.17696,0.0005879024,0.00062329846,87.79589,0.00039329252,0.0003899106,22.03846,229.17915,0.00041902383,7.6496925,0.0004148007,0.0005186685,47.38967,1.8924327,0.00043221476,0.00047950225,0.0004978847,0.00038631147,0.00048153524,0.00045891726,0.00051574263,109.87738,0.00046731753,0.0004299875,0.0003783615,31.704288,0.0004168866
WDR54,0.0002462138,18.219181,0.00031442652,0.00036649965,46.652393,0.000217828,0.00022953354,20.180008,118.719795,0.00024287125,8.813725,0.00024742505,0.00029027535,43.41454,2.9442408,0.0002499596,0.00027427278,0.00027969672,0.00023084799,0.0002743605,0.0002683062,0.00027771757,64.96282,0.00024577221,0.0002625907,0.00022492034,28.1127,0.00023251005
ITGAL,0.00012217843,31.734274,0.00015086643,0.0001823444,9.197142,0.0001106713,0.00012840843,12.963576,7.531287,0.00014089947,8.850633,0.00015613358,0.00014737461,62.00397,5.7542996,0.00013841804,0.0001570539,0.00015323398,0.00012367064,0.00013517133,0.00015923404,0.00014863804,13.326297,0.00013582109,0.00015778434,0.00014104771,24.481817,0.00012848836
ABCC8,1.1339835e-05,5.368463,1.4384579e-05,1.5152131e-05,0.830253,9.5723635e-06,1.06893185e-05,14.713514,0.54399675,1.01032565e-05,1.7912893,1.1862959e-05,1.4750459e-05,6.8012733,0.26350918,1.056218e-05,1.1572278e-05,1.380504e-05,1.0937529e-05,1.159847e-05,1.1817371e-05,1.46670845e-05,0.6339105,1.0757312e-05,1.1317706e-05,1.0391006e-05,1.5182915,1.1564202e-05
CX3CL1,0.00019184776,12.979661,0.0002653207,0.00032146196,85.53281,0.00017383583,0.00019064815,59.577343,44.322746,0.00020344058,7.2481503,0.00021887501,0.00026890254,30.514168,4.856676,0.00019544983,0.00022146766,0.00021744627,0.00020266692,0.00022143513,0.00022156621,0.00023139117,88.54196,0.00017485856,0.00023430663,0.0001867424,48.009827,0.0002096568
