gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
FGR,9.673769e-06,7.376847,5.188196e-06,1.7008137e-05,-9.150653,7.514957e-06,5.8348405e-06,-4.8778925,-0.52101284,-3.1474042e-06,7.5472994,4.861453e-06,1.1769838e-05,-28.763317,1.5286326,7.17454e-06,1.2836496e-05,1.3520289e-05,6.499138e-06,5.913365e-06,9.829393e-06,-4.342107e-06,0.96171945,9.529906e-06,1.3267402e-06,-2.7472905e-07,25.898247,1.1554155e-05
CFH,5.032477e-05,2.3815308,8.093933e-05,9.159165e-05,-3.9901874,4.3331504e-05,4.6668592e-05,13.636757,4.84255,6.0139915e-05,-10.061606,6.7651694e-05,9.133446e-05,-3.8267415,-0.75621575,6.169655e-05,5.412565e-05,6.522714e-05,5.6969675e-05,6.78637e-05,6.3789565e-05,6.738865e-05,-16.98806,4.7951078e-05,6.707483e-05,5.8518803e-05,14.760749,7.930863e-05
HS3ST1,-5.02915e-05,7.219399,-6.60246e-05,-0.00011665344,-13.147182,-4.347272e-05,-4.247451e-05,-1.1421726,-5.9160624,-4.792196e-05,3.5188792,-4.593906e-05,-6.757169e-05,13.505212,-2.843038,-4.68205e-05,-5.226354e-05,-4.427393e-05,-4.919971e-05,-4.893495e-05,-4.991706e-05,-5.0894294e-05,-0.5813923,-3.4695255e-05,-3.641949e-05,-3.4765402e-05,-0.61266375,-4.309322e-05
TMEM176A,-4.0863055e-05,-6.8322783,-8.035998e-05,-8.219651e-05,4.7044406,-4.172036e-05,-4.1413026e-05,-1.0899522,-0.03588675,-4.478344e-05,-3.1853993,-4.4382898e-05,-9.004057e-05,-11.649138,1.2463224,-4.674125e-05,-3.257288e-05,-4.936477e-05,-5.0059753e-05,-6.0059763e-05,-4.75845e-05,-7.127636e-05,1.8334444,-4.0806506e-05,-5.697463e-05,-3.6691752e-05,15.009467,-6.392346e-05
TFPI,-4.7536043e-05,-111.135216,-2.904456e-05,-6.288585e-06,1.584359,-3.5053054e-05,-3.444277e-05,-43.847637,-10.625768,-3.2085503e-05,-7.739864,-2.2188593e-05,-6.1542305e-05,128.39458,-0.17864099,-2.7186179e-05,-3.4434386e-05,-4.7375554e-05,-3.2858523e-05,-2.1767428e-06,-4.8778787e-05,-5.8517755e-05,-12.009654,-3.0705225e-05,-2.2797574e-05,-2.9562416e-05,55.55846,-4.2615164e-05
HSPB6,-4.247397e-07,-1.3795747,-1.5667961e-06,-2.0817884e-06,-0.06442872,-7.736233e-07,-8.5734246e-07,-1.0657372,-0.31869873,-8.3296857e-07,-2.697107,-8.016125e-07,-4.5772236e-07,2.9685936,0.3031132,-4.6194862e-07,-5.2425446e-07,-1.5428233e-06,-5.546616e-07,-1.1846229e-06,-3.4899801e-07,-9.641286e-07,0.15477316,-8.754164e-07,-5.393437e-07,-7.1348535e-07,2.0990827,-7.1305516e-07
PDK4,2.7610535e-05,8.528513,2.807602e-05,3.8549817e-05,0.729132,2.3568631e-05,2.3781622e-05,28.959278,4.53665,2.466014e-05,-0.6412949,3.6391317e-05,3.0496776e-05,-52.97884,0.41427264,2.3397533e-05,3.212955e-05,3.486806e-05,2.7078768e-05,2.7062033e-05,3.5143734e-05,2.5853384e-05,-4.8220325,2.1750137e-05,2.309963e-05,3.0536496e-05,15.273769,2.7908256e-05
ZMYND10,3.455364e-05,2.3214145,5.0256185e-05,-5.003338e-06,43.22291,3.23329e-05,2.9232917e-05,12.420837,-81.77887,2.8658731e-05,0.020505331,4.238211e-05,7.6991266e-05,-8.727595,0.2539867,2.7864924e-05,4.1301028e-05,3.6954625e-05,2.4958654e-05,4.3428616e-05,5.045361e-05,5.2159357e-05,24.23923,5.1202678e-05,2.7988777e-05,3.0522562e-05,8.026831,5.5168544e-05
WDR54,-3.768837e-05,3.1400192,-2.6769538e-05,-5.4475917e-05,-9.6540785,-3.5550886e-05,-2.4463106e-05,0.34192666,-22.10987,-3.025779e-05,-0.14353442,-3.8553062e-05,-2.9680969e-05,7.416057,0.022279024,-2.8928192e-05,-4.169938e-05,-3.1921754e-05,-2.1169652e-05,-3.8559643e-05,-4.3174055e-05,-2.8784285e-05,14.882596,-4.021522e-05,-2.2990276e-05,-2.7380076e-05,6.1052194,-1.0150817e-05
ITGAL,1.8045279e-06,1.4446042,1.6348167e-10,-2.748048e-06,0.97639686,1.0710204e-07,-1.1670217e-06,1.5358449,-1.0373092,-2.2793247e-06,1.1803151,-4.1311937e-06,-8.67182e-07,-5.2101693,0.1947833,-1.0761285e-06,1.8640384e-06,4.071341e-06,1.6917994e-08,1.3879027e-06,-3.2505363e-07,-3.63325e-06,-0.16315998,1.4785176e-06,-3.5353446e-06,-1.1458594e-06,1.078703,-1.1108433e-06
