gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
FGR,2.9421975e-05,2.697911,3.6989863e-05,4.7427588e-05,2.9438803,2.9657975e-05,3.419747e-05,5.3175135,0.24303506,3.376082e-05,1.501148,3.9203427e-05,3.220792e-05,15.313827,1.5253308,3.5102294e-05,3.992859e-05,4.4822104e-05,2.8361654e-05,3.1721753e-05,3.637329e-05,3.1042735e-05,0.8660197,2.8508006e-05,3.7509206e-05,3.5311157e-05,6.506411,3.330509e-05
CFH,5.386363e-05,4.4684997,8.314885e-05,8.455939e-05,37.481068,5.866743e-05,6.0962404e-05,1.7432857,13.182661,5.513359e-05,2.7608874,5.8682675e-05,7.5716875e-05,1.990689,0.26319355,5.2896296e-05,5.8474914e-05,5.443035e-05,6.739996e-05,5.8476544e-05,5.691173e-05,8.1902996e-05,47.05999,4.830068e-05,6.1935796e-05,4.7577327e-05,1.0107058,5.4226566e-05
HS3ST1,0.0002253205,7.567664,0.00037990356,0.00037368122,70.00853,0.000226141,0.00022275514,1.241357,8.630225,0.00023296535,1.0623907,0.0002374148,0.00039521206,2.210835,0.4137439,0.00022628391,0.00021901497,0.0002348266,0.00024652143,0.00026799866,0.00025203536,0.0003466008,74.373535,0.00020491058,0.00025899868,0.00018923925,1.0359337,0.00025163722
TMEM176A,0.00029278916,2.842184,0.0004911001,0.00046564726,2.4343889,0.00027287487,0.00027958074,1.1578171,1.4739233,0.00030107328,1.3889229,0.00029853298,0.0005021781,6.1468225,0.83405447,0.00029965388,0.00027561592,0.0003232384,0.00031470644,0.00036275783,0.0003202807,0.00042841825,4.1419635,0.00027331887,0.0003266673,0.0002429854,5.3079863,0.00032966657
TFPI,0.00011875589,17.542645,0.000170133,0.00017480577,16.60599,0.00011186773,0.000109946435,19.362537,4.701994,0.00012354963,4.576317,0.00013044066,0.00015659844,17.095634,0.8334884,0.00011420278,0.00012961698,0.00012330191,0.00012697425,0.00012991573,0.00012571625,0.00015244761,16.244778,0.000111198075,0.00012101767,0.00011509997,3.45631,0.00011555346
HSPB6,8.1881115e-07,0.2733659,1.1829578e-06,1.4730541e-06,0.34470442,7.935548e-07,8.3506563e-07,0.20907098,0.05335181,8.710738e-07,1.2008972,9.869555e-07,9.039426e-07,0.6475239,0.04558688,8.738948e-07,9.971707e-07,1.1583862e-06,9.155303e-07,9.647537e-07,8.4675776e-07,1.0628772e-06,0.087377965,1.0256024e-06,9.946498e-07,9.0014686e-07,0.2662399,8.5062226e-07
PDK4,3.7323727e-05,6.309702,5.5666696e-05,5.633459e-05,7.507896,3.516091e-05,3.6341466e-05,10.105468,1.6080354,3.713411e-05,2.5749166,4.0813215e-05,5.7574583e-05,13.719891,0.79611665,3.849506e-05,4.011969e-05,4.4055047e-05,3.7291058e-05,4.5493798e-05,4.079671e-05,5.0803825e-05,5.0686274,3.7633894e-05,4.1738604e-05,3.507767e-05,3.0124621,4.0885127e-05
ZMYND10,1.9239254e-05,2.916071,2.713867e-05,3.1972406e-05,5.3162694,1.9099505e-05,1.8653353e-05,0.31194338,23.265635,1.9564402e-05,0.45668212,1.9966075e-05,2.4328521e-05,1.0112965,0.19485185,2.0210246e-05,2.1552338e-05,1.8757259e-05,1.7966959e-05,2.2518565e-05,1.7879218e-05,2.3070568e-05,21.434927,1.8232946e-05,1.9448575e-05,1.6912942e-05,0.77225816,1.745248e-05
WDR54,8.213392e-05,2.1865609,0.00014453036,0.00014269647,4.3275304,8.285546e-05,8.205143e-05,0.8696734,9.372302,8.830372e-05,0.59620655,8.9059606e-05,0.00013202755,1.7064245,0.13022384,8.52354e-05,8.300285e-05,8.8447116e-05,8.964294e-05,0.00010254051,8.847032e-05,0.00012740916,10.133309,7.958559e-05,9.127561e-05,7.09797e-05,1.9295352,8.754063e-05
ITGAL,1.9583318e-05,0.7852558,3.0403393e-05,4.693415e-05,1.7059131,2.0969519e-05,2.4584278e-05,0.9679682,0.5540231,2.490082e-05,1.0358315,2.9447376e-05,2.228197e-05,3.607797,0.7387594,2.7769458e-05,2.7195005e-05,2.8753233e-05,2.238405e-05,2.983731e-05,2.28526e-05,2.3928766e-05,0.6465762,2.2034748e-05,3.0438412e-05,2.497428e-05,3.5982988,2.358117e-05
ABCC8,5.82448e-06,0.21430956,1.0523917e-05,1.0220082e-05,0.03849111,6.1064197e-06,5.9411254e-06,1.0129293,0.001963195,6.1241335e-06,0.48335934,6.593209e-06,1.2357053e-05,0.6788404,0.0006356708,5.8747064e-06,5.4931625e-06,6.3326083e-06,6.417945e-06,7.625301e-06,6.754178e-06,8.755338e-06,0.37269518,5.5023593e-06,7.0483343e-06,4.998939e-06,0.012715116,7.932746e-06
CX3CL1,4.384529e-05,1.665254,5.95982e-05,6.204084e-05,25.745235,4.737953e-05,5.727526e-05,2.1295483,5.200339,4.4799308e-05,0.5763846,4.339633e-05,4.929815e-05,1.1410737,0.11827218,5.0391664e-05,5.299984e-05,4.748645e-05,5.808021e-05,4.4816712e-05,4.091183e-05,5.8296464e-05,28.570171,3.5083372e-05,5.1078212e-05,3.595171e-05,0.72186893,5.1037347e-05
TNFRSF12A,0.00013241652,70.56214,0.00020829536,0.00020782764,86.80537,0.00012627355,0.00013072214,2.0792165,5.994807,0.00013965761,2.2582586,0.00014096458,0.0002003284,3.252113,0.4057344,0.00012929327,0.00013713684,0.00013695864,0.00013915508,0.00014987434,0.00014411667,0.00018410197,28.046665,0.00011644811,0.00014815436,0.000118548705,2.055734,0.00014103699
PRSS21,3.9668193e-06,0.82742566,5.199117e-06,6.2569584e-06,1.0197916,4.122725e-06,4.3045293e-06,0.7287399,0.26990086,4.6230293e-06,0.28017566,5.0695453e-06,4.682873e-06,1.5050603,0.12777445,4.6108335e-06,5.16752e-06,4.833801e-06,3.964419e-06,4.4556355e-06,4.497963e-06,4.7681724e-06,1.1154245,4.2939305e-06,4.8395063e-06,4.5769084e-06,0.1679799,4.4422677e-06
PROM1,0.000101667894,1.6063652,0.00016395848,0.00015888129,8.391103,9.789743e-05,9.5954005e-05,0.08667528,12.863813,9.737091e-05,0.28341308,0.000101880716,0.00017409654,0.6349988,0.2525379,0.00010023121,9.366333e-05,0.00010603288,0.000107659806,0.00012209042,0.00010697821,0.0001510627,21.421186,9.057677e-05,0.00010963202,8.05008e-05,1.2636471,0.00011434806
NOS2,7.8778416e-05,0.96061337,0.000118434335,0.00012717825,16.136005,7.694997e-05,8.792582e-05,0.027898528,2.9410021,7.363459e-05,0.01647012,7.485807e-05,0.000113640956,0.043963466,0.012261223,7.767611e-05,7.8365876e-05,6.583515e-05,9.698495e-05,9.5441574e-05,7.6105025e-05,0.0001187636,18.040594,5.793059e-05,8.856735e-05,6.081927e-05,1.0626726,5.891769e-05
DNAH9,7.760399e-06,0.50144356,1.06467e-05,1.1088922e-05,1.7745523,8.367123e-06,8.000791e-06,0.012403959,6.5397243,7.451169e-06,0.06422213,7.015292e-06,9.198628e-06,0.21706812,0.035014927,7.346061e-06,8.61494e-06,7.526076e-06,6.574253e-06,7.5263583e-06,7.2655475e-06,9.189885e-06,6.082269,6.361538e-06,7.385733e-06,5.8724486e-06,0.21434522,6.3753896e-06
MATK,7.762938e-06,0.61963385,1.04028395e-05,1.5257652e-05,0.9985984,7.748629e-06,9.0502845e-06,0.59073853,0.1338532,9.178055e-06,0.68325686,9.297931e-06,8.5938955e-06,3.1010654,0.51803935,9.168581e-06,9.62077e-06,1.0109829e-05,8.858379e-06,9.815153e-06,8.360656e-06,9.391872e-06,0.6227446,7.2342955e-06,9.706849e-06,8.463654e-06,4.124773,8.241638e-06
CD79B,3.85761e-05,0.41189575,6.8842266e-05,0.000114152564,1.8628662,4.2287033e-05,4.976748e-05,0.7706022,0.11715208,5.266082e-05,3.4270146,7.00958e-05,4.7058053e-05,3.1059647,0.35798773,6.122289e-05,5.809142e-05,6.318668e-05,4.8601396e-05,7.258275e-05,4.767943e-05,4.9107584e-05,0.076103985,5.3765085e-05,6.739648e-05,5.6908575e-05,6.594731,4.9886854e-05
TKTL1,3.040436e-06,0.028678345,4.6568716e-06,5.908729e-06,0.24869213,2.8387797e-06,3.0433855e-06,0.008543055,0.0021819575,3.2411674e-06,0.10134497,3.8170997e-06,4.6793357e-06,0.10104841,0.06902982,3.7593488e-06,3.2158591e-06,3.5674316e-06,3.2895034e-06,3.9833567e-06,3.2574033e-06,3.8210546e-06,0.034805253,2.9651019e-06,3.884552e-06,2.9099751e-06,0.4994864,3.88285e-06
SELE,1.2128604e-06,0.3718465,1.6047501e-06,1.462109e-06,1.3267863,1.1934147e-06,1.169134e-06,4.4108043,0.2546642,1.1076881e-06,0.72287405,1.2922515e-06,1.5244093e-06,2.5036995,0.039825227,1.1066907e-06,1.3029168e-06,1.3235585e-06,1.2623892e-06,1.0846777e-06,1.1691388e-06,1.5684543e-06,0.18032658,1.0966373e-06,1.1517072e-06,1.0741381e-06,0.016681308,1.2002132e-06
FMO3,1.7152692e-05,0.77477,2.5617452e-05,2.6499663e-05,39.11677,1.8932848e-05,1.9121797e-05,0.14924476,5.3078485,1.6413156e-05,0.32702634,1.6307315e-05,2.1465725e-05,0.4747943,0.0875358,1.5557825e-05,1.9750012e-05,1.562937e-05,1.7296275e-05,1.6357637e-05,1.7340952e-05,2.324865e-05,43.111034,1.4547534e-05,1.7089264e-05,1.3507335e-05,0.3668309,1.3865025e-05
DLEC1,4.573838e-05,1.4376237,7.1168615e-05,8.151451e-05,2.6515946,5.7212124e-05,4.8618425e-05,0.07344862,12.083938,4.968708e-05,0.29880497,5.1998246e-05,5.326351e-05,0.40565628,0.2225753,4.577368e-05,5.2789455e-05,4.849545e-05,5.0562005e-05,5.0947987e-05,4.2905598e-05,7.053888e-05,10.476452,4.5721154e-05,5.002667e-05,4.469105e-05,0.8554208,4.1852298e-05
MGST1,0.00080683065,100.46623,0.0013076242,0.0012305467,246.72813,0.0008730445,0.00080066925,7.7896895,39.998,0.00081512466,7.2710752,0.0008379411,0.0011456946,21.162857,3.5715191,0.0007424313,0.00080994406,0.0007421573,0.0009005374,0.0008540795,0.0007983959,0.0012639137,239.57231,0.0007536502,0.00078747154,0.00069119764,7.334039,0.0007241739
IL32,0.0001799335,176.33397,0.00026141707,0.0003114411,189.63817,0.00019626107,0.0002209818,6.998457,4.780198,0.00019380117,6.452426,0.00020737876,0.00022672644,33.74868,3.9032407,0.00020407954,0.00021126652,0.00019455176,0.00022395329,0.00020426342,0.00018740448,0.00024317626,16.437046,0.00015326415,0.00021998618,0.00016977776,52.461052,0.00018838569
MED24,7.0173264e-05,5.311744,0.00011285816,0.00011113112,19.163336,6.909958e-05,7.296754e-05,0.91888416,3.5182436,7.318195e-05,0.6779896,7.590287e-05,0.00010174852,1.9728571,0.20644723,7.201211e-05,7.3957286e-05,7.5120486e-05,8.150001e-05,8.212852e-05,7.522226e-05,0.000101195306,21.32991,6.439332e-05,7.8332836e-05,6.324117e-05,1.6640675,7.380388e-05
TRAF3IP3,4.9474176e-05,0.93751746,7.682616e-05,0.00011552337,5.007559,5.3656408e-05,6.0126815e-05,0.44529814,0.3642084,6.164134e-05,3.2122939,7.0663475e-05,5.672435e-05,4.2378044,1.1393077,6.566063e-05,6.9379224e-05,7.083385e-05,5.7920544e-05,6.95166e-05,5.5317476e-05,5.6553807e-05,1.4256876,5.3723903e-05,7.005828e-05,5.849548e-05,12.597981,5.8111316e-05
SEMA3G,9.819803e-07,0.45685804,1.1257247e-06,1.1588077e-06,0.39591047,8.055579e-07,8.6488336e-07,1.397887,0.103638,8.12165e-07,0.77605855,1.0822818e-06,1.1257151e-06,0.7181947,0.012574472,9.865307e-07,1.0360512e-06,1.1801062e-06,8.6062647e-07,9.624041e-07,8.9986565e-07,1.1524228e-06,0.4738623,9.257653e-07,9.811992e-07,9.792503e-07,0.1948005,9.889048e-07
STAB1,1.31573215e-05,1.2955657,1.9472393e-05,2.5436182e-05,1.982836,1.5935555e-05,1.6023087e-05,1.839175,0.4071991,1.6061265e-05,0.23275927,2.0355903e-05,1.42438275e-05,8.101741,0.3427365,1.725809e-05,1.9847623e-05,2.2268441e-05,1.2270267e-05,1.6790356e-05,1.6696424e-05,1.5376048e-05,0.5074778,1.5969794e-05,1.9362467e-05,1.7296335e-05,5.545561,1.6322587e-05
LRRC23,4.6719986e-05,5.0912104,7.424e-05,7.4606556e-05,7.21393,5.526451e-05,5.072778e-05,0.58437985,13.595305,4.715455e-05,0.47584918,5.098509e-05,6.9215224e-05,1.712775,0.18861842,4.6203033e-05,4.874776e-05,4.9102e-05,5.1407835e-05,5.3745876e-05,4.7175596e-05,7.692257e-05,15.957576,4.441797e-05,4.9946368e-05,4.0147377e-05,0.9218424,4.3689615e-05
FYN,7.076607e-05,1.1111479,0.000110591965,0.000111158675,4.1405277,6.884502e-05,7.5740725e-05,2.498902,0.9505043,7.277169e-05,1.2995405,7.821572e-05,0.00010794222,6.4437547,0.54463583,7.57621e-05,7.59434e-05,8.424062e-05,7.671602e-05,8.202808e-05,7.404617e-05,9.680159e-05,1.682269,6.600358e-05,7.894622e-05,6.1444174e-05,9.489074,8.412698e-05
PLAUR,7.922303e-05,8.475875,0.00010804644,0.00013275477,16.73446,7.614608e-05,8.544943e-05,6.585506,3.5399737,8.596647e-05,2.51954,9.844405e-05,9.307194e-05,23.004292,1.5597247,8.741118e-05,9.8488425e-05,0.000101231824,8.046705e-05,8.8714085e-05,8.724645e-05,9.383041e-05,14.078633,7.698581e-05,8.672359e-05,7.730881e-05,9.227409,8.142851e-05
DCN,9.981494e-05,15.193705,0.00014290797,0.00015713251,25.467638,9.6787444e-05,0.000100336976,22.463459,2.0542185,9.635031e-05,68.427025,0.00011889341,0.00012287748,16.222765,0.73329043,9.8911776e-05,0.00011820203,0.00012392679,8.966244e-05,0.00012256336,0.0001051943,0.00012752812,5.1725516,0.000126747,0.000120030854,0.00011337011,7.9279003,0.000110080226
ZBTB32,1.115871e-05,0.09655815,1.84572e-05,3.261197e-05,0.20244868,1.2513899e-05,1.4308132e-05,0.018122403,5.831765e-05,1.6183854e-05,0.250551,2.2303437e-05,1.4429092e-05,0.5155192,0.07368888,1.8874322e-05,1.8385374e-05,1.8965115e-05,1.3875836e-05,2.2285965e-05,1.4582408e-05,1.5057028e-05,9.223052e-05,1.7431315e-05,2.1877431e-05,1.857847e-05,0.78408265,1.5015421e-05
TYROBP,0.0004590144,23.690987,0.00060076045,0.0008874979,47.492382,0.00047957397,0.00054165354,33.46304,3.8111417,0.0005541606,18.101809,0.00070625264,0.0004979916,198.21878,10.3756275,0.00059651723,0.0006583563,0.00076806353,0.00044554938,0.0005939087,0.0005523945,0.00049097947,15.333957,0.0005222784,0.0006135576,0.00056916993,118.21784,0.0005391843
