Gene,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
ENSG00000000938,-5.546634e-06,-1.1879,-6.484006e-06,-1.1507142e-05,1.8369266,-7.5668854e-06,-8.320057e-06,-0.18418843,-0.08181792,-4.9734294e-06,-1.463308,-7.1521235e-06,-5.5974606e-06,8.336211,-1.4721208,-7.1679547e-06,-1.0693769e-05,-1.1815783e-05,-5.0374747e-06,-6.924785e-06,-9.080912e-06,-4.4213793e-06,-0.08725725,-7.4571176e-06,-5.8348924e-06,-6.5930203e-06,-5.696403,-6.8687864e-06
ENSG00000000971,-2.8865219e-05,-3.3152397,-4.7160156e-05,-4.2302367e-05,5.8817606,-2.8989942e-05,-3.052987e-05,-1.499962,-11.882158,-2.9763156e-05,1.2105398,-3.1893054e-05,-4.3272044e-05,-0.25276434,0.10302697,-2.7911588e-05,-2.8592738e-05,-3.1255375e-05,-3.784155e-05,-3.242688e-05,-3.1554984e-05,-4.7848815e-05,10.127591,-2.5224073e-05,-3.5036137e-05,-2.6319267e-05,-0.37215927,-3.130202e-05
ENSG00000002587,0.0001224053,-7.47732,0.00022597382,0.00021519413,-12.079672,0.000121151934,0.00011454884,0.9129429,0.64856297,0.00012787043,-0.87265706,0.00012526991,0.0002501771,-1.9621704,0.34991798,0.00012487831,0.00010662739,0.00013863499,0.00012565419,0.00015135326,0.0001458944,0.0001941094,20.624447,0.00011349231,0.00014176947,9.223198e-05,-0.14685051,0.00015405782
ENSG00000002933,-0.00018608717,2.3868444,-0.000309461,-0.0002956002,-1.831199,-0.00017891501,-0.0001778445,-0.43557316,-0.7261296,-0.00018449672,0.40999836,-0.00018292191,-0.00031398315,4.381372,-0.77457917,-0.00019747321,-0.00017152393,-0.0002167428,-0.00019986366,-0.00022453131,-0.00019929558,-0.00027429668,1.8079385,-0.00018505812,-0.00020668186,-0.00014647312,-5.214604,-0.00021746977
ENSG00000003436,4.448533e-06,-4.51249,-1.2944618e-05,1.3619688e-06,-1.9958603,8.1113585e-06,1.5314582e-06,17.97379,1.9443263,5.490372e-06,-0.5825004,2.242161e-06,1.2344958e-07,-15.069673,-0.02914653,5.996196e-07,9.03844e-06,4.9791906e-06,4.3323876e-06,-3.780553e-06,5.8067344e-06,-3.8142018e-06,4.983874,7.896008e-07,2.6676247e-07,8.577804e-06,-2.7123594,5.6630233e-06
ENSG00000004776,3.3326018e-07,-0.08678609,5.506408e-07,6.593648e-07,0.2352136,3.2138058e-07,3.6514786e-07,0.016016822,0.029827308,4.2685986e-07,0.6638506,4.198712e-07,2.6917368e-07,-0.60057306,-0.023075022,3.8157518e-07,4.562885e-07,5.8642155e-07,4.099138e-07,4.130208e-07,3.35636e-07,3.8857038e-07,-0.003924811,4.264542e-07,4.586232e-07,3.9468262e-07,-0.23055711,3.605959e-07
ENSG00000004799,-1.5197171e-05,-3.5571692,-2.8372764e-05,-2.771482e-05,1.477656,-1.3611598e-05,-1.3650945e-05,-9.77912,-0.71861535,-1.6856304e-05,0.9150597,-1.6571737e-05,-2.6426995e-05,12.8501005,-0.58718514,-1.7240262e-05,-1.4586667e-05,-2.1411857e-05,-1.5470268e-05,-2.2423623e-05,-1.7669512e-05,-2.0151303e-05,2.1856034,-1.538432e-05,-1.9247382e-05,-1.3989261e-05,-2.7859764,-1.9659728e-05
ENSG00000004838,-4.5622037e-06,-1.424203,-7.668356e-06,-1.114997e-05,-2.2870758,-4.195607e-06,-4.640635e-06,-0.30208322,17.633783,-4.5857446e-06,0.08525811,-5.5923088e-06,-1.0032062e-05,0.4229608,0.028805546,-5.054417e-06,-4.755741e-06,-4.6179775e-06,-5.5665305e-06,-7.138374e-06,-4.563281e-06,-6.248073e-06,-13.734754,-4.8342026e-06,-4.394998e-06,-3.8491103e-06,-0.42258117,-6.2324866e-06
ENSG00000005448,5.055799e-05,-0.93298686,9.1417256e-05,8.626778e-05,0.2745256,5.1391915e-05,4.717959e-05,0.5797679,5.5395255,5.1244948e-05,0.13045892,4.909299e-05,8.040809e-05,-1.1613259,0.061313532,5.0724833e-05,4.5560388e-05,4.9612114e-05,5.470617e-05,6.054559e-05,5.0879564e-05,8.249624e-05,-5.315136,4.7236612e-05,5.0226517e-05,3.9262184e-05,0.82277,4.979318e-05
ENSG00000005844,-7.388486e-06,-0.6853179,-1.1007676e-05,-2.1801945e-05,-1.5174569,-8.758816e-06,-1.0905386e-05,-0.42563313,0.2244088,-9.3498265e-06,-0.82457983,-1.1751541e-05,-8.444029e-06,1.546185,-0.7096639,-1.107642e-05,-1.0508405e-05,-1.13263695e-05,-9.608126e-06,-1.29897835e-05,-7.415603e-06,-1.0318012e-05,-0.39122507,-7.2558278e-06,-9.932413e-06,-8.5349775e-06,2.7834773,-6.6970374e-06
