gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
A1BG,0.0118974853971531,0.011429884871513,0.0130291901928541,0.0151343991928626,0.0159366943562847,0.0165800785703242,0.0134508735329654,0.0128842722573918,0.0186397258032547,0.0151900919493256,0.0141545790417123,0.0101422043079316,0.0129175982135709,0.0153825525131269,0.0131880127499483,0.0077882044309944,0.0118801728694383,0.0137969671497003,0.0475144281528137,0.0131637082463913,0.0165110339641533,0.0168605747784948,0.019171391275408,0.0144204980806719,0.0158429855994775,0.0183151714936061,0.0161772545489921,0.0164171510593679,0.0172950623916231
A2M,0.022571152568392,0.0145532744858099,0.0197195839588234,0.0187222411875125,0.0246231342524218,0.016928077105803,0.0252855309121162,0.0203874535683636,0.0242164575238667,0.0185038456993828,0.0184991858057324,0.0171365629828107,0.0216418574633894,0.0164922539738343,0.0193663263024186,0.0202436506948977,0.0195099072553612,0.0202516741169548,0.0394445519132927,0.0191058268199623,0.0200867262989198,0.0250345040345212,0.0232407215090777,0.0215242785241761,0.0160198395442062,0.0232148856373047,0.0246649025466969,0.0229773112324198,0.0210195611846082
ABCA1,0.0145405861909531,0.0140385954256756,0.0120907439872756,0.0162049431061,0.0158964683609887,0.0116329609014032,0.0144678135360615,0.0155017539767439,0.0156367895743354,0.0144153547212626,0.014189506446267,0.0102725696651907,0.0143320921257709,0.0132263316302379,0.013835124712928,0.0097405071949949,0.0128636523270446,0.0145358367649818,0.0122537794177407,0.0119481185927749,0.0148652828344641,0.0192478444484884,0.0167168452666687,0.0079507711113886,0.0172225009416217,0.0178711784830575,0.0147444426988613,0.0125628584449822,0.0163697432309563
ABCA3,0.0182387877276216,0.0140002109828577,0.0208651510437618,0.0190977508968682,0.0258827232536956,0.0145149710689528,0.018600376814647,0.0160840845789771,0.0198679271811606,0.0151463539563444,0.0196017788966038,0.0183545871854185,0.0183716087157782,0.0167025562020566,0.0202710216487632,0.0121990265735358,0.0175483762539846,0.018833123914407,0.0206896085453603,0.0143268075212626,0.0201689945394791,0.0255754106942422,0.0210203138355427,0.0186898932397961,0.0247562872475558,0.023428551546836,0.0174889887472773,0.0206387563128135,0.0185354637941109
ABCA6,0.0320919261038815,0.0280577993331867,0.0334736597412611,0.029294454696727,0.0321507717794354,0.026153904860829,0.0300081680408225,0.0283464593575722,0.0330957772616228,0.0285977100471565,0.0269796499484842,0.0341075315719347,0.0246393585938688,0.0304871065097997,0.0295830708468484,0.0289508014623561,0.0261363996030164,0.0268901346806142,0.0165467478329729,0.0319157873172596,0.026829893322551,0.0347205121742897,0.0401265147292154,0.0229897068533347,0.0275929332417012,0.0311933730545982,0.0295653550738413,0.0271534958642372,0.0318209972085292
ABCA8,0.0249108518388532,0.0203203225189926,0.0293235215227834,0.0269285372184019,0.0295703706030461,0.0215238921040095,0.0232192806387036,0.0324332961471909,0.0340655984541759,0.0225478180923221,0.0217820043854085,0.022940205449848,0.0277311813937326,0.0214779069374954,0.0288082464622198,0.040524972061052,0.0266424959045839,0.0297541788451231,0.0287514244580428,0.0264471038187523,0.0302822356700905,0.0333653817551402,0.0299265034082796,0.022634482241116,0.0276284566668147,0.0274266403793083,0.0352491131053839,0.028107403042776,0.031075020821676
ABCB1,0.0406405492057794,0.0304324500222583,0.0339784888464379,0.0489447880369921,0.0425847642256179,0.0407005897048925,0.0363494580401915,0.0395133317660994,0.0392237649247984,0.0381276728625602,0.0424222498013867,0.0192478263657451,0.0373425920205337,0.036237464656071,0.0373574768687267,0.0421131947043819,0.0374131574165908,0.036215540100569,0.0112655256412571,0.0371721460432145,0.0357510140666871,0.0389410671005554,0.0437182025475168,0.0353863313121411,0.0507057925279591,0.0538925952797757,0.0425672790122876,0.0473883749952348,0.0365222035322067
ABCC8,0.0578413878920388,0.0737110009866927,0.0594456299680636,0.0709521089436113,0.0812740501297595,0.0614225419193733,0.0669862150650032,0.0502614387490231,0.0809799084574549,0.056794369032027,0.0845692299044941,0.0896188364601001,0.0584672126227304,0.0725378746420499,0.072699088180015,0.0305807667443487,0.0634121124508025,0.0763531221667067,0.0335409140767028,0.0675956984475448,0.0633570219587585,0.0766520737580358,0.0730917373744591,0.0880012379908719,0.0736417984360273,0.0713561946688889,0.0802576697468616,0.0684504551862218,0.0675536704958197
ABI3,0.0126816533131149,0.0134541651592712,0.0144362454039483,0.0157949013488676,0.0154642963366276,0.0153558373982283,0.0164249470588608,0.0140109458162548,0.0194841770786092,0.0115481196622077,0.0184810487116767,0.0142382385175226,0.0119009002866169,0.01541911059901,0.0178625791382116,0.012639161963703,0.0164208260586394,0.0161297871551228,0.0218974418830894,0.0159691329973564,0.0135963869630593,0.0150202416291317,0.0152052924348336,0.0168209633675672,0.0188071850766325,0.0173950904103462,0.016341669495318,0.0145715397932569,0.0158648456517122
ABI3BP,0.0242716532051348,0.0209643200160286,0.0241505368624315,0.0239268593612276,0.0299075877014761,0.0298356602789844,0.0244072084951387,0.0279362289314199,0.0301375690892256,0.0294250209055472,0.0281214820269087,0.0367793681299847,0.0290596792005616,0.0228877904791263,0.0257509675230083,0.0199032594448655,0.0280610740504136,0.0225292553655786,0.0609331438860877,0.0286531182434089,0.0276165005505495,0.0323595706338547,0.031068121338675,0.0270300705929626,0.029287059457375,0.0321992465906774,0.0287483158751498,0.024752098967556,0.0278992738826152
AC002331.1,0.088282602566397,0.0627760829751949,0.0765899017807155,0.0793753424045448,0.098907120125133,0.0895631152879879,0.0725008944619055,0.0996149897102251,0.088212296900536,0.0666064098592279,0.0762446307377171,0.0579811552722054,0.0947128738988235,0.0770403939397393,0.0817607914464427,0.0687858450358242,0.0749937884371413,0.0986131431462497,0.0045014751386507,0.0734470145005079,0.0800291555902684,0.0999443122104922,0.0884343249690692,0.0889355163170871,0.100590412280887,0.0866892010836534,0.0716821359639495,0.0920949190129606,0.0824557979457973
AC004791.2,0.0695359505315415,0.0677941709093652,0.0807806343617802,0.0566825301005427,0.0910572144034347,0.0777125520675894,0.0682060224196866,0.059297675635041,0.1011585829763078,0.0870797138385379,0.0721414612335269,0.0897282438014122,0.0790165540399808,0.0845945646318776,0.0669849041372469,0.0728382467304813,0.0736487975964319,0.0716715300162056,0.0818792331640777,0.0735653623288487,0.0715721473051429,0.0907206793361359,0.0904154311870003,0.0677444594237728,0.0887618956200878,0.0898374250438145,0.0730863814697744,0.0825367725646323,0.0777302553661677
AC006129.2,0.0254969986473918,0.0218325911824386,0.0298519680200971,0.0323876742337879,0.0302563271698737,0.0234494422724969,0.0342740807422789,0.0324000740421983,0.0337923265933805,0.0274799726490558,0.0292303273214455,0.024787385008518,0.0276271263029985,0.0256024359182159,0.0275830569496082,0.0305763840112544,0.0248644851974181,0.0234846956797092,0.0279358402475192,0.0288924487901969,0.0305312551280757,0.0402473994057662,0.0349926850887038,0.0274900771960092,0.0356738096003752,0.0325244411191596,0.0351705022832074,0.0278743579711596,0.0275645738136606
AC006369.2,0.0583198923479179,0.0572982340520491,0.0709438487604804,0.066867241698122,0.0866886383197105,0.0569579592407541,0.0628152695123364,0.0597211327065294,0.0745482835349651,0.0550719937344454,0.0754567683983463,0.0839821510525354,0.0634256458323689,0.065895848435977,0.066819567916597,0.0542050352555312,0.046791962388634,0.06298308813473,0.0945423102704859,0.0623775020223724,0.0581816900465761,0.0760124070108806,0.0593195229447647,0.0649876023042677,0.0705111999556786,0.0638818694286646,0.0589074386023866,0.0633952170723089,0.0660477145448479
