features,AT1,AT2,Arterial EC,B cell lineage,Basal,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,Lymphatic EC,Macrophages,Mast cells,Mesothelium,Monocytes,Non-T/B cells,Rare,Secretory,Smooth Muscle,Submucosal Secretory,T cell lineage,Venous
A1BG,0.006549934777925743,0.008843487429197293,0.009907064042809433,0.009146574189593805,0.008213710627937233,0.009473620692418775,0.005719960515196753,0.006408393135549031,0.00800319949732402,0.006294419802111274,0.006377276105393672,0.005857135569315151,0.005491541085594902,0.007763350736703375,0.008949567418217843,0.009014880878766045,0.008211471049563419,0.008676383731928534,0.00834411602184759,0.008684843248713605,0.009486556256988011
A2M,0.0063591085109938284,0.006593517945161619,0.0077256715291485365,0.007352353830690712,0.006557962046270306,0.007140090595159957,0.007221183304601189,0.006680162558854044,0.008002109751286051,0.005341728410150296,0.0050802008426462306,0.0073633996371018666,0.004003828933274134,0.009303317967869193,0.006796637010073877,0.009281715017812683,0.00777589653115317,0.009647334039894711,0.010098001136505174,0.007533324051023619,0.008641663870736734
ABCA1,0.008756328477101867,0.006874148919894519,0.00841109229410484,0.008008829619790561,0.008532106744818945,0.010813012283314686,0.008061618728125535,0.008193372222917973,0.009030832539899331,0.008550732221217204,0.007277868849628558,0.008715785141060677,0.007044224826800382,0.008886177405458592,0.01112548791684898,0.0093944140580847,0.008296122685601138,0.01164835841543866,0.008786420958833703,0.01127792771497039,0.01011115038076016
ABCA3,0.012124413719933558,0.011728672552777819,0.013533940404138823,0.013212559881879077,0.011669696130794905,0.014882802077470952,0.01257875107148102,0.011994905385685775,0.012609318797297105,0.01115275173663815,0.010514597642086385,0.014761495165073007,0.009152114012367752,0.012529866913782389,0.0146509260356502,0.015584842550639775,0.012387936902705218,0.016135792772352144,0.01266035600549129,0.013417078694603237,0.014892805730475522
ABCA6,0.015334925055091706,0.012772411882358392,0.01677519048993076,0.022540252069979436,0.0180514384931609,0.020733572773046976,0.011438584980973143,0.014022338053080553,0.01702546174038463,0.013887131214337649,0.01523993678011948,0.015610763404296367,0.011629858871538128,0.017310259551424224,0.01639029398095331,0.015502553984992243,0.012516487099774211,0.018248692632094377,0.01356861993844499,0.01526987200241769,0.01795149984859074
ABCA8,0.011418537250402698,0.009734550180305333,0.014550903556627755,0.013342600823637757,0.01396300584255018,0.01330455706974303,0.010606246840626497,0.011170091110828357,0.012560275974479918,0.010367969063301058,0.011278581773594698,0.01390975808631491,0.006809375077590297,0.01534679105197706,0.013344340757613904,0.013430590809861412,0.01195116705941411,0.012015103846590016,0.012015579593217916,0.011437736875252553,0.012853765686550384
ABCB1,0.02319077758993938,0.01778367534098223,0.023739800938633995,0.027654044580442027,0.021464927180653053,0.026477472018655055,0.014532944716682332,0.020677690771127622,0.021645523394813355,0.0156334856151481,0.01799306518322155,0.0215909749689576,0.014216908781681581,0.019865303904390216,0.020185166322992557,0.025091679857915595,0.018634725410497727,0.03101530179966954,0.02091272531380917,0.02250821896064901,0.027088148734112312
ABCC8,0.031988382360380124,0.025144804932520234,0.04532288977728095,0.03467288800673496,0.033892489759742024,0.042439608930761624,0.029602654841526622,0.03540884875861916,0.02873797721003411,0.025595160286807063,0.025717057459350833,0.03427691063452398,0.016750237848532107,0.04152802679053072,0.03945960488010562,0.03840470262714295,0.033211970215305406,0.026615871351430165,0.04171057013914698,0.0325505528777595,0.041348751123324916
ABI3,0.006603605572192579,0.007801497107943812,0.008356470564404908,0.010046123614076237,0.008301878696181313,0.008724301852382916,0.007538355330738663,0.006681147613288185,0.007757732002633379,0.006682337024167002,0.007342225871709193,0.008869990681660665,0.005785835738982139,0.009263936970598616,0.008488183237634117,0.010379126476858989,0.008316412963851955,0.009464012703997087,0.010116094785550039,0.008133346875258829,0.009558085626394132
ABI3BP,0.009424820582484316,0.007308386965417528,0.010567551908501904,0.009809377543045512,0.008991316610214307,0.00979627732521207,0.0077583634630105916,0.009270756148942171,0.011441086834744024,0.008895924399466432,0.009511030908818541,0.008796451437864707,0.005469623586264818,0.010604986280133934,0.011121829799142564,0.009588678786488319,0.0085579194874633,0.013384538152749554,0.007524143079225566,0.011237442549256002,0.011554627645973798
